relvolume,open,price,symbol,high,percentchange,low,watchers,hourchange,sentiment
0.5851,120.14,121.35,EA,121.65,0.7472,119.6,20708,0,8.33
0.5897,129.91,130.16,JPM,131.44,-0.1151,129.41,82517,2,2.86
0.5137,102.39,104.36,GOOGL,104.53,0.6073,102.11,160023,1,2.75
0.736,275.09,279.65,NVDA,280.0,0.6768,273.36,420852,0,1.61
1.0137,90.41,91.33,SONY,91.38,0.7501,90.41,2088,0,0.0
0.8172,6.14,6.03,SOFI,6.275,-0.659,5.94,91842,-2,-1.13
0.4861,4.99,5.11,AMC,5.145,1.996,4.94,412624,17,-0.91
1.0724,32.94,32.89,INTC,33.56,0.6734,32.54,131143,-1,0.34
0.6614,286.52,287.23,MSFT,288.27,-0.3711,283.95,442840,0,0.95
0.5014,130.97,132.06,IBM,132.61,0.7399,130.77,51354,1,2.17
0.4395,463.3,469.19,NOC,471.55,1.6179,462.65,8034,0,0.0
0.9487,199.91,194.77,TSLA,202.6897,-6.1168,192.2,890379,8,-0.49
0.6998,164.27,166.17,AAPL,166.29,0.7702,164.27,877095,7,2.26
0.5014,208.84,213.07,META,213.4861,0.5332,208.2001,512478,2,2.24
0.7684,213.98,202.6,ENPH,215.8856,-3.6523,201.6293,37376,0,1.19
0.4915,9.64,9.29,CVNA,10.16,-5.1073,9.085,23353,-4,-0.85
0.5293,102.3,102.41,AMZN,103.29,-0.852,101.43,587698,5,1.52
0.7543,96.695,96.56,AMD,96.79,-1.4794,94.81,456501,0,-0.2
