low,high,price,relvolume,symbol,open,percentchange,watchers,hourchange,sentiment
465.19,471.7399,469.53,0.31,NOC,468.73,0.0725,8033,-1,0.0
285.8,290.4499,285.955,0.5823,MSFT,287.23,-0.4439,442890,2,1.1
274.34,280.0,274.58,0.5978,NVDA,279.66,-1.813,420925,4,2.36
212.54,216.24,214.235,0.5144,META,213.39,0.5468,512513,1,6.34
198.65,203.2,202.22,0.3898,ENPH,202.89,-0.1876,37367,0,0.56
190.32,198.7446,191.3013,0.6541,TSLA,197.32,-1.7809,890486,7,1.04
165.33,166.83,165.48,0.4661,AAPL,166.595,-0.4152,877181,2,2.67
130.9,132.13,131.47,0.4078,IBM,131.99,-0.4468,51355,0,0.0
127.41,130.57,128.2,0.5918,JPM,130.5,-1.5058,82529,1,5.41
121.23,125.47,125.09,0.8847,EA,121.43,3.082,20707,0,0.0
104.04,105.58,104.58,0.4381,GOOGL,104.33,0.2108,160040,0,4.12
102.11,103.99,103.93,0.5122,AMZN,102.75,1.4842,587776,2,1.72
95.42,97.27,95.46,0.5549,AMD,97.038,-1.1392,456541,7,-1.12
90.36,91.145,90.72,0.7264,SONY,90.78,-0.6679,2087,0,0.0
32.91,33.84,32.965,0.9034,INTC,32.85,0.228,131182,3,2.71
8.93,9.72,9.315,0.3035,CVNA,9.44,0.2691,23344,0,-2.29
5.835,6.095,5.875,0.408,SOFI,6.1,-2.5705,91854,-1,-0.39
3.88,4.45,3.905,2.263,AMC,4.08,-23.5812,412833,5,-4.8
