symbol,low,percentchange,high,price,open,relvolume,watchers,hourchange,sentiment
NOC,465.19,-0.0938,471.7399,468.75,468.73,0.3163,8033,-1,0.0
MSFT,285.67,-0.5122,290.4499,285.7589,287.23,0.5988,442890,2,1.1
NVDA,273.985,-1.9989,280.0,274.06,279.66,0.6141,420925,4,2.36
META,212.54,0.4623,216.24,214.055,213.39,0.5237,512513,1,6.34
ENPH,198.65,-0.5429,203.2,201.5,202.89,0.4009,37367,0,0.56
TSLA,190.32,-1.8976,198.7446,191.074,197.32,0.6644,890486,7,1.04
AAPL,165.33,-0.4935,166.83,165.35,166.595,0.4767,877181,2,2.67
IBM,130.9,-0.4771,132.13,131.43,131.99,0.419,51355,0,0.0
JPM,127.41,-1.6134,130.57,128.06,130.5,0.6056,82529,1,5.41
EA,121.23,3.0655,125.47,125.07,121.43,0.9002,20707,0,0.0
GOOGL,104.04,0.115,105.58,104.48,104.33,0.4479,160040,0,4.12
AMZN,102.11,1.5282,104.2,103.975,102.75,0.5376,587776,2,1.72
AMD,95.22,-1.367,97.27,95.24,97.038,0.572,456541,7,-1.12
SONY,90.36,-0.6241,91.145,90.76,90.78,0.7516,2087,0,0.0
INTC,32.91,0.2584,33.84,32.975,32.85,0.919,131182,3,2.71
CVNA,8.93,0.8611,9.72,9.37,9.44,0.3074,23344,0,-2.29
SOFI,5.835,-2.5705,6.095,5.875,6.1,0.4131,91854,-1,-0.39
AMC,3.88,-23.5127,4.45,3.9085,4.08,2.2992,412833,5,-4.8
