price,relvolume,symbol,open,percentchange,low,high,watchers,hourchange,sentiment
468.32,0.3269,NOC,468.73,-0.1854,465.19,471.7399,8033,-1,0.0
286.305,0.6141,MSFT,287.23,-0.322,285.67,290.4499,442890,2,1.1
274.5004,0.629,NVDA,279.66,-1.8414,273.95,280.0,420925,4,2.36
214.2197,0.5344,META,213.39,0.5396,212.54,216.24,512513,1,6.34
201.58,0.4124,ENPH,202.89,-0.5035,198.65,203.2,37367,0,0.56
191.2,0.6738,TSLA,197.32,-1.8329,190.32,198.7446,890486,7,1.04
165.39,0.4928,AAPL,166.595,-0.4694,165.33,166.83,877181,2,2.67
131.44,0.4357,IBM,131.99,-0.4695,130.9,132.13,51355,0,0.0
128.185,0.6246,JPM,130.5,-1.5174,127.41,130.57,82529,1,5.41
125.08,0.9334,EA,121.43,3.0738,121.23,125.47,20707,0,0.0
104.44,0.4588,GOOGL,104.33,0.0767,104.04,105.58,160040,0,4.12
103.935,0.5533,AMZN,102.75,1.4891,102.11,104.2,587776,2,1.72
95.555,0.5898,AMD,97.038,-1.0408,95.21,97.27,456541,7,-1.12
90.825,0.7838,SONY,90.78,-0.5529,90.36,91.145,2087,0,0.0
32.975,0.9457,INTC,32.85,0.2584,32.91,33.84,131182,3,2.71
9.33,0.3175,CVNA,9.44,0.4306,8.93,9.72,23344,0,-2.29
5.885,0.4288,SOFI,6.1,-2.4046,5.835,6.095,91854,-1,-0.39
3.895,2.3348,AMC,4.08,-23.7769,3.88,4.45,412833,5,-4.8
