relvolume,low,price,open,percentchange,symbol,high,watchers,hourchange,sentiment
0.686,273.08,274.53,279.66,-1.8309,NVDA,280.0,420931,6,1.79
0.5141,104.04,104.72,104.33,0.345,GOOGL,105.58,160041,1,4.12
2.4701,3.88,3.91,4.08,-23.4834,AMC,4.45,412830,-3,-5.44
1.0756,121.23,125.24,121.43,3.2056,EA,125.47,20707,0,0.0
0.3434,8.93,9.5,9.44,2.2605,CVNA,9.72,23345,1,-1.79
0.5769,212.54,214.72,213.39,0.7744,META,216.24,512513,0,5.69
0.5043,130.9,131.6,131.99,-0.3483,IBM,132.13,51356,1,0.0
0.711,190.32,192.58,197.32,-1.1244,TSLA,198.7446,890496,10,0.83
0.6455,95.21,95.87,97.038,-0.7146,AMD,97.27,456542,1,-1.07
0.9783,90.36,91.01,90.78,-0.3504,SONY,91.145,2087,0,0.0
0.4624,198.65,202.54,202.89,-0.0296,ENPH,203.2,37369,2,0.34
0.4678,5.835,5.89,6.1,-2.3217,SOFI,6.095,91854,0,-0.4
1.059,32.85,33.1,32.85,0.6385,INTC,33.84,131182,0,2.99
0.702,127.41,128.42,130.5,-1.3368,JPM,130.57,82527,-2,5.61
0.6103,102.11,103.95,102.75,1.5038,AMZN,104.2,587783,7,2.17
0.5431,165.11,165.63,166.595,-0.325,AAPL,166.83,877173,-8,2.24
0.6652,285.67,287.18,287.23,-0.0174,MSFT,290.4499,442890,0,1.2
0.3915,465.0,468.1,468.73,-0.2323,NOC,471.94,8033,0,0.0
