high,symbol,low,price,relvolume,open,percentchange,watchers,hourchange,sentiment
104.2,AMZN,102.11,103.95,0.6103,102.75,1.5038,587793,10,2.13
166.83,AAPL,165.11,165.63,0.5431,166.595,-0.325,877173,0,2.33
471.94,NOC,465.0,468.1,0.3915,468.73,-0.2323,8034,1,0.0
290.4499,MSFT,285.67,287.18,0.6652,287.23,-0.0174,442888,-2,0.64
280.0,NVDA,273.08,274.53,0.686,279.66,-1.8309,420931,0,0.86
105.58,GOOGL,104.04,104.72,0.5141,104.33,0.345,160041,0,4.53
4.45,AMC,3.88,3.91,2.4701,4.08,-23.4834,412831,1,-5.68
125.47,EA,121.23,125.24,1.0756,121.43,3.2056,20706,-1,0.0
9.72,CVNA,8.93,9.5,0.3434,9.44,2.2605,23343,-2,-1.79
216.24,META,212.54,214.72,0.5769,213.39,0.7744,512519,6,5.13
132.1499,IBM,130.89,131.6,0.5043,131.99,-0.3483,51358,2,0.0
198.7446,TSLA,190.32,192.58,0.711,197.32,-1.1244,890491,-5,0.35
91.145,SONY,90.36,91.01,0.9783,90.78,-0.3504,2087,0,0.0
97.27,AMD,95.21,95.87,0.6455,97.038,-0.7146,456542,0,-2.25
203.2,ENPH,198.65,202.54,0.4624,202.89,-0.0296,37369,0,0.6
6.095,SOFI,5.835,5.89,0.4678,6.1,-2.3217,91854,0,-0.77
33.84,INTC,32.85,33.1,1.059,32.85,0.6385,131182,0,2.87
130.59,JPM,127.41,128.42,0.702,130.5,-1.3368,82526,-1,6.54
