open,relvolume,price,percentchange,symbol,low,high,watchers,hourchange,sentiment
32.85,1.059,33.1,0.6385,INTC,32.85,33.84,131182,0,2.87
130.5,0.702,128.42,-1.3368,JPM,127.41,130.59,82526,-1,6.54
102.75,0.6103,103.95,1.5038,AMZN,102.11,104.2,587793,10,2.13
166.595,0.5431,165.63,-0.325,AAPL,165.11,166.83,877173,0,2.33
468.73,0.3915,468.1,-0.2323,NOC,465.0,471.94,8034,1,0.0
287.23,0.6652,287.18,-0.0174,MSFT,285.67,290.4499,442888,-2,0.64
279.66,0.686,274.53,-1.8309,NVDA,273.08,280.0,420931,0,0.86
104.33,0.5141,104.72,0.345,GOOGL,104.04,105.58,160041,0,4.53
4.08,2.4701,3.91,-23.4834,AMC,3.88,4.45,412831,1,-5.68
121.43,1.0756,125.24,3.2056,EA,121.23,125.47,20706,-1,0.0
9.44,0.3434,9.5,2.2605,CVNA,8.93,9.72,23343,-2,-1.79
213.39,0.5769,214.72,0.7744,META,212.54,216.24,512519,6,5.13
197.32,0.711,192.58,-1.1244,TSLA,190.32,198.7446,890491,-5,0.35
131.99,0.5043,131.6,-0.3483,IBM,130.89,132.1499,51358,2,0.0
90.78,0.9783,91.01,-0.3504,SONY,90.36,91.145,2087,0,0.0
202.89,0.4624,202.54,-0.0296,ENPH,198.65,203.2,37369,0,0.6
97.038,0.6455,95.87,-0.7146,AMD,95.21,97.27,456542,0,-2.25
6.1,0.4678,5.89,-2.3217,SOFI,5.835,6.095,91854,0,-0.77
