percentchange,symbol,open,low,price,relvolume,high,watchers,hourchange,sentiment
3.2056,EA,121.43,121.23,125.24,1.0756,125.47,20706,-1,0.0
2.2605,CVNA,9.44,8.93,9.5,0.3434,9.72,23343,-2,-1.79
0.7744,META,213.39,212.54,214.72,0.5769,216.24,512519,6,5.13
-1.1244,TSLA,197.32,190.32,192.58,0.711,198.7446,890491,-5,0.35
-0.3483,IBM,131.99,130.89,131.6,0.5043,132.1499,51358,2,0.0
-0.3504,SONY,90.78,90.36,91.01,0.9783,91.145,2087,0,0.0
-0.0296,ENPH,202.89,198.65,202.54,0.4624,203.2,37369,0,0.6
-0.7146,AMD,97.038,95.21,95.87,0.6455,97.27,456542,0,-2.25
-2.3217,SOFI,6.1,5.835,5.89,0.4678,6.095,91854,0,-0.77
0.6385,INTC,32.85,32.85,33.1,1.059,33.84,131182,0,2.87
-1.3368,JPM,130.5,127.41,128.42,0.702,130.59,82526,-1,6.54
1.5038,AMZN,102.75,102.11,103.95,0.6103,104.2,587793,10,2.13
-0.325,AAPL,166.595,165.11,165.63,0.5431,166.83,877173,0,2.33
-0.2323,NOC,468.73,465.0,468.1,0.3915,471.94,8034,1,0.0
-0.0174,MSFT,287.23,285.67,287.18,0.6652,290.4499,442888,-2,0.64
-1.8309,NVDA,279.66,273.08,274.53,0.686,280.0,420931,0,0.86
0.345,GOOGL,104.33,104.04,104.72,0.5141,105.58,160041,0,4.53
-23.4834,AMC,4.08,3.88,3.91,2.4701,4.45,412831,1,-5.68
