open,price,high,percentchange,low,relvolume,symbol,watchers,hourchange,sentiment
9.44,9.5,9.72,2.2605,8.93,0.3434,CVNA,23341,-2,-2.04
213.39,214.72,216.24,0.7744,212.54,0.5769,META,512519,0,4.77
197.32,192.58,198.7446,-1.1244,190.32,0.711,TSLA,890499,8,0.43
131.99,131.6,132.1499,-0.3483,130.89,0.5043,IBM,51358,0,0.0
97.038,95.87,97.27,-0.7146,95.21,0.6455,AMD,456542,0,-2.3
90.78,91.01,91.145,-0.3504,90.36,0.9783,SONY,2087,0,0.0
202.89,202.54,203.2,-0.0296,198.65,0.4624,ENPH,37369,0,0.63
6.1,5.89,6.095,-2.3217,5.835,0.4678,SOFI,91854,0,-0.63
32.85,33.1,33.84,0.6385,32.85,1.059,INTC,131182,0,2.54
130.5,128.42,130.59,-1.3368,127.41,0.702,JPM,82526,0,6.95
468.73,468.1,471.94,-0.2323,465.0,0.3915,NOC,8034,0,0.0
287.23,287.18,290.4499,-0.0174,285.67,0.6652,MSFT,442887,-1,-0.13
166.595,165.63,166.83,-0.325,165.11,0.5431,AAPL,877176,3,1.97
102.75,103.95,104.2,1.5038,102.11,0.6103,AMZN,587798,5,2.42
279.66,274.53,280.0,-1.8309,273.08,0.686,NVDA,420940,9,0.55
104.33,104.72,105.58,0.345,104.04,0.5141,GOOGL,160046,5,4.0
4.08,3.91,4.45,-23.4834,3.88,2.4701,AMC,412839,8,-5.55
121.43,125.24,125.47,3.2056,121.23,1.0756,EA,20706,0,0.0
