price,low,high,percentchange,symbol,open,relvolume,watchers,hourchange,sentiment
9.5,8.93,9.72,2.2605,CVNA,9.44,0.3434,23341,-2,-2.04
214.72,212.54,216.24,0.7744,META,213.39,0.5769,512519,0,4.77
192.58,190.32,198.7446,-1.1244,TSLA,197.32,0.711,890499,8,0.43
131.6,130.89,132.1499,-0.3483,IBM,131.99,0.5043,51358,0,0.0
95.87,95.21,97.27,-0.7146,AMD,97.038,0.6455,456542,0,-2.3
91.01,90.36,91.145,-0.3504,SONY,90.78,0.9783,2087,0,0.0
202.54,198.65,203.2,-0.0296,ENPH,202.89,0.4624,37369,0,0.63
5.89,5.835,6.095,-2.3217,SOFI,6.1,0.4678,91854,0,-0.63
33.1,32.85,33.84,0.6385,INTC,32.85,1.059,131182,0,2.54
128.42,127.41,130.59,-1.3368,JPM,130.5,0.702,82526,0,6.95
165.63,165.11,166.83,-0.325,AAPL,166.595,0.5431,877176,3,1.97
287.18,285.67,290.4499,-0.0174,MSFT,287.23,0.6652,442887,-1,-0.13
468.1,465.0,471.94,-0.2323,NOC,468.73,0.3915,8034,0,0.0
103.95,102.11,104.2,1.5038,AMZN,102.75,0.6103,587798,5,2.42
104.72,104.04,105.58,0.345,GOOGL,104.33,0.5141,160046,5,4.0
3.91,3.88,4.45,-23.4834,AMC,4.08,2.4701,412839,8,-5.55
274.53,273.08,280.0,-1.8309,NVDA,279.66,0.686,420940,9,0.55
125.24,121.23,125.47,3.2056,EA,121.43,1.0756,20706,0,0.0
