price,relvolume,open,high,low,percentchange,symbol,watchers,hourchange,sentiment
103.95,0.6103,102.75,104.2,102.11,1.5038,AMZN,587814,6,1.79
274.53,0.686,279.66,280.0,273.08,-1.8309,NVDA,420958,2,0.13
104.72,0.5141,104.33,105.58,104.04,0.345,GOOGL,160053,3,3.54
3.91,2.4701,4.08,4.45,3.88,-23.4834,AMC,412860,12,-4.34
468.1,0.3915,468.73,471.94,465.0,-0.2323,NOC,8036,0,0.0
125.24,1.0756,121.43,125.47,121.23,3.2056,EA,20708,0,0.0
214.72,0.5769,213.39,216.24,212.54,0.7744,META,512519,0,3.72
9.5,0.3434,9.44,9.72,8.93,2.2605,CVNA,23343,2,-2.01
192.58,0.711,197.32,198.7446,190.32,-1.1244,TSLA,890512,6,0.29
95.87,0.6455,97.038,97.27,95.21,-0.7146,AMD,456547,2,-2.3
131.6,0.5043,131.99,132.1499,130.89,-0.3483,IBM,51357,-1,0.0
91.01,0.9783,90.78,91.145,90.36,-0.3504,SONY,2087,0,0.0
202.54,0.4624,202.89,203.2,198.65,-0.0296,ENPH,37367,0,0.81
5.89,0.4678,6.1,6.095,5.835,-2.3217,SOFI,91863,2,-0.48
33.1,1.059,32.85,33.84,32.85,0.6385,INTC,131190,3,2.97
128.42,0.702,130.5,130.59,127.41,-1.3368,JPM,82526,0,8.08
165.63,0.5431,166.595,166.83,165.11,-0.325,AAPL,877179,0,0.86
287.18,0.6652,287.23,290.4499,285.67,-0.0174,MSFT,442895,2,-1.12
