low,symbol,relvolume,open,percentchange,price,high,watchers,hourchange,sentiment
102.11,AMZN,0.6103,102.75,1.5038,103.95,104.2,587805,-9,1.69
273.08,NVDA,0.686,279.66,-1.8309,274.53,280.0,420963,5,0.05
104.04,GOOGL,0.5141,104.33,0.345,104.72,105.58,160055,2,3.16
3.88,AMC,2.4701,4.08,-23.4834,3.91,4.45,412856,-4,-4.15
465.0,NOC,0.3915,468.73,-0.2323,468.1,471.94,8035,-1,0.0
121.23,EA,1.0756,121.43,3.2056,125.24,125.47,20708,0,0.0
212.54,META,0.5769,213.39,0.7744,214.72,216.24,512522,3,3.71
8.93,CVNA,0.3434,9.44,2.2605,9.5,9.72,23341,-2,-1.63
190.32,TSLA,0.711,197.32,-1.1244,192.58,198.7446,890514,2,0.31
95.21,AMD,0.6455,97.038,-0.7146,95.87,97.27,456549,2,-2.1
130.89,IBM,0.5043,131.99,-0.3483,131.6,132.1499,51357,0,0.0
90.36,SONY,0.9783,90.78,-0.3504,91.01,91.145,2087,0,0.0
198.65,ENPH,0.4624,202.89,-0.0296,202.54,203.2,37367,0,0.88
5.835,SOFI,0.4678,6.1,-2.3217,5.89,6.095,91865,2,-0.6
32.85,INTC,1.059,32.85,0.6385,33.1,33.84,131191,1,3.11
127.41,JPM,0.702,130.5,-1.3368,128.42,130.59,82528,2,8.1
165.11,AAPL,0.5431,166.595,-0.325,165.63,166.83,877188,9,0.62
285.67,MSFT,0.6652,287.23,-0.0174,287.18,290.4499,442895,0,-0.81
