high,price,open,relvolume,low,symbol,percentchange,watchers,hourchange,sentiment
473.3,471.96,467.22,0.3186,467.85,NOC,0.8246,8036,-1,0.0
287.145,283.92,285.85,0.4534,282.95,MSFT,-1.1352,442940,5,-3.89
269.98,266.48,268.29,0.7577,263.95,NVDA,-2.9323,421035,3,-4.44
215.19,211.19,214.15,0.4299,209.95,META,-1.644,512550,5,-2.7
201.62,191.605,200.0,0.6971,187.73,ENPH,-5.3989,37375,3,-0.25
190.68,185.6601,190.515,0.6066,183.76,TSLA,-3.5933,890592,10,-1.42
165.05,162.6723,164.74,0.5152,161.8,AAPL,-1.7857,877243,0,-7.02
132.61,132.15,131.37,0.2839,131.47,IBM,0.4179,51358,0,0.0
128.14,127.42,126.8,0.4397,126.46,JPM,0.0,82526,4,5.76
126.245,125.57,125.24,0.452,124.85,EA,0.2635,20706,0,8.33
106.1,104.2,105.78,0.4878,103.66,GOOGL,-0.4966,160111,3,0.52
103.91,101.395,103.91,0.4457,100.7506,AMZN,-2.4579,587859,5,0.63
94.5,92.145,94.35,0.6088,91.36,AMD,-3.8855,456572,1,-2.88
90.02,89.58,89.9,0.5083,89.53,SONY,-1.5713,2087,0,0.0
32.985,32.75,32.795,0.5243,32.335,INTC,-1.0574,131187,-3,0.24
9.38,8.5501,9.38,0.2592,8.3901,CVNA,-9.9989,23332,-4,-1.8
5.87,5.7068,5.87,0.6344,5.5801,SOFI,-3.1104,91868,0,0.36
4.09,4.005,4.07,0.5582,3.94,AMC,2.4297,412889,-6,-2.65
