open,symbol,relvolume,price,low,high,percentchange,watchers,hourchange,sentiment
467.22,NOC,0.3497,472.295,467.85,473.3,0.8962,8036,-1,0.0
285.85,MSFT,0.4736,284.41,282.95,287.145,-0.9646,442940,5,-3.89
268.29,NVDA,0.7975,267.75,263.95,269.98,-2.4697,421035,3,-4.44
214.15,META,0.4474,211.6201,209.95,215.19,-1.4437,512550,5,-2.7
200.0,ENPH,0.7155,192.96,187.73,201.62,-4.7299,37375,3,-0.25
190.515,TSLA,0.6348,186.3492,183.76,190.68,-3.2354,890592,10,-1.42
164.74,AAPL,0.5392,163.16,161.8,165.05,-1.4913,877243,0,-7.02
131.37,IBM,0.299,132.21,131.47,132.61,0.4635,51358,0,0.0
126.8,JPM,0.4661,127.47,126.46,128.14,0.0392,82526,4,5.76
125.24,EA,0.4762,125.52,124.85,126.245,0.2236,20706,0,8.33
105.78,GOOGL,0.504,104.45,103.66,106.1,-0.2578,160111,3,0.52
103.91,AMZN,0.468,101.5462,100.7506,103.91,-2.3125,587859,5,0.63
94.35,AMD,0.6393,92.73,91.36,94.5,-3.2753,456572,1,-2.88
89.9,SONY,0.5367,89.625,89.53,90.02,-1.5218,2087,0,0.0
32.795,INTC,0.552,32.855,32.335,32.985,-0.7402,131187,-3,0.24
9.38,CVNA,0.2657,8.5414,8.3901,9.38,-10.0905,23332,-4,-1.8
5.87,SOFI,0.6609,5.705,5.5801,5.87,-3.1409,91868,0,0.36
4.07,AMC,0.5871,4.0241,3.94,4.09,2.9182,412889,-6,-2.65
