open,percentchange,low,relvolume,symbol,price,high,watchers,hourchange,sentiment
467.22,1.0532,467.85,0.3806,NOC,473.03,473.58,8036,0,0.0
285.85,-1.163,282.95,0.5048,MSFT,283.84,287.145,442943,3,-4.52
268.29,-3.0051,263.95,0.8467,NVDA,266.28,269.98,421046,11,-4.46
214.15,-1.7232,209.95,0.4736,META,211.02,215.19,512550,0,-4.2
200.0,-5.199,187.73,0.7424,ENPH,192.01,201.62,37377,2,0.11
190.515,-3.8219,183.76,0.6766,TSLA,185.2197,190.68,890598,6,-1.55
164.74,-1.5516,161.8,0.5696,AAPL,163.0601,165.05,877248,5,-8.21
131.37,0.3191,131.47,0.3263,IBM,132.02,132.61,51359,1,0.0
126.8,0.1492,126.46,0.5157,JPM,127.6101,128.14,82526,0,3.17
125.24,0.3354,124.85,0.5193,EA,125.66,126.245,20706,0,8.33
105.78,-0.7114,103.66,0.532,GOOGL,103.975,106.1,160114,3,0.29
103.91,-2.7655,100.7506,0.499,AMZN,101.0753,103.91,587863,4,0.87
94.35,-3.8698,91.36,0.6794,AMD,92.16,94.5,456577,5,-2.92
89.9,-1.5603,89.53,0.5763,SONY,89.59,90.02,2087,0,0.0
32.795,-1.0423,32.335,0.5879,INTC,32.755,32.985,131191,4,-0.91
9.38,-11.1053,8.3901,0.2786,CVNA,8.445,9.38,23331,-1,-1.8
5.87,-3.3956,5.5801,0.6872,SOFI,5.69,5.87,91867,-1,0.36
4.07,2.4297,3.94,0.6266,AMC,4.005,4.09,412889,0,-1.9
