open,percentchange,price,symbol,low,high,relvolume,watchers,hourchange,sentiment
467.22,0.7712,471.71,NOC,467.85,473.58,0.4146,8036,0,0.0
285.85,-1.069,284.11,MSFT,282.95,287.145,0.5306,442943,3,-4.52
268.29,-2.7137,267.08,NVDA,263.95,269.98,0.8855,421046,11,-4.46
214.15,-1.8303,210.79,META,209.95,215.19,0.5055,512550,0,-4.2
200.0,-4.5374,193.35,ENPH,187.73,201.62,0.7665,37377,2,0.11
190.515,-3.5076,185.825,TSLA,183.76,190.68,0.7083,890598,6,-1.55
164.74,-1.3833,163.3388,AAPL,161.8,165.05,0.6029,877248,5,-8.21
131.37,0.266,131.95,IBM,131.47,132.61,0.3536,51359,1,0.0
126.8,0.2825,127.78,JPM,126.46,128.14,0.5429,82526,0,3.17
125.24,0.535,125.91,EA,124.85,126.245,0.5627,20706,0,8.33
105.78,-0.5968,104.095,GOOGL,103.66,106.1,0.5541,160114,3,0.29
103.91,-2.5493,101.3,AMZN,100.7506,103.91,0.5234,587863,4,0.87
94.35,-3.7916,92.235,AMD,91.36,94.5,0.7118,456577,5,-2.92
89.9,-1.5603,89.59,SONY,89.53,90.02,0.6163,2087,0,0.0
32.795,-0.8459,32.82,INTC,32.335,32.985,0.6187,131191,4,-0.91
9.38,-10.9474,8.46,CVNA,8.3901,9.38,0.295,23331,-1,-1.8
5.87,-2.8014,5.725,SOFI,5.5801,5.87,0.7205,91867,-1,0.36
4.07,2.6854,4.015,AMC,3.94,4.09,0.6591,412889,0,-1.9
