symbol,low,relvolume,percentchange,high,open,price,watchers,hourchange,sentiment
GOOGL,103.66,0.6109,-0.191,106.1,105.78,104.52,160109,-5,-0.03
SOFI,5.5801,0.786,-2.4618,5.87,5.87,5.745,91869,2,0.68
INTC,32.335,0.7132,-0.8308,32.985,32.795,32.825,131189,-2,-1.12
ENPH,187.73,0.8384,-4.3448,201.62,200.0,193.74,37379,2,0.69
AAPL,161.8,0.6702,-1.0928,165.05,164.74,163.82,877252,4,-8.61
AMZN,100.7506,0.5813,-2.7898,103.91,103.91,101.05,587861,-2,0.57
CVNA,8.3901,0.3189,-10.5789,9.38,9.38,8.495,23331,0,-1.57
EA,124.85,0.7325,0.7585,126.27,125.24,126.19,20706,0,0.0
MSFT,282.95,0.5843,-0.968,287.145,285.85,284.4,442943,0,-4.57
JPM,126.46,0.609,0.1177,128.14,126.8,127.57,82526,0,3.59
NOC,467.85,0.5536,0.5843,473.58,467.22,470.835,8036,0,0.0
AMD,91.36,0.7872,-3.4109,94.5,94.35,92.6,456574,-3,-2.38
META,209.95,0.5446,-1.481,215.19,214.15,211.5401,512549,-1,-3.89
AMC,3.94,0.7224,3.0921,4.09,4.07,4.0309,412890,1,-1.18
SONY,89.53,0.7198,-1.5053,90.02,89.9,89.64,2087,0,0.0
NVDA,263.95,0.9568,-2.1491,269.98,268.29,268.63,421051,5,-4.01
IBM,131.47,0.4187,0.4065,132.61,131.37,132.135,51365,6,0.0
TSLA,183.76,0.7518,-3.6868,190.68,190.515,185.48,890600,2,-1.08
