price,percentchange,low,relvolume,high,open,symbol,watchers,hourchange,sentiment
193.67,-4.3794,187.73,0.8384,201.62,200.0,ENPH,37380,1,0.91
101.1,-2.7417,100.7506,0.5813,103.91,103.91,AMZN,587863,2,-0.27
163.76,-1.129,161.8,0.6702,165.05,164.74,AAPL,877251,-1,-9.65
8.5,-10.5263,8.39,0.3189,9.38,9.38,CVNA,23332,1,-2.07
126.15,0.7266,124.85,0.7325,126.27,125.24,EA,20706,0,0.0
92.56,-3.4526,91.36,0.7872,94.5,94.35,AMD,456579,5,-1.91
470.91,0.6003,467.22,0.5536,473.6,467.22,NOC,8036,0,0.0
127.61,0.1491,126.46,0.609,128.15,126.8,JPM,82525,-1,0.4
4.05,3.5806,3.94,0.7224,4.09,4.07,AMC,412883,-7,-0.81
268.81,-2.0836,263.95,0.9568,269.98,268.29,NVDA,421050,-1,-4.0
284.34,-0.9889,282.95,0.5843,287.145,285.85,MSFT,442947,4,-4.68
211.48,-1.5089,209.95,0.5446,215.19,214.15,META,512546,-3,-3.86
185.52,-3.666,183.76,0.7518,190.68,190.515,TSLA,890603,3,-1.35
89.65,-1.4943,89.5312,0.7198,90.02,89.9,SONY,2087,0,0.0
104.47,-0.2387,103.66,0.6109,106.1,105.78,GOOGL,160105,-4,0.33
132.14,0.4103,131.37,0.4187,132.61,131.37,IBM,51366,1,0.0
5.74,-2.5467,5.5801,0.786,5.87,5.87,SOFI,91868,-1,0.89
32.83,-0.8157,32.335,0.7132,32.985,32.795,INTC,131189,0,-0.93
