low,high,percentchange,open,price,relvolume,symbol,watchers,hourchange,sentiment
183.76,190.68,-3.666,190.515,185.52,0.7518,TSLA,890609,6,-1.41
89.5312,90.02,-1.4943,89.9,89.65,0.7198,SONY,2087,0,0.0
131.37,132.61,0.4103,131.37,132.14,0.4187,IBM,51366,0,0.0
5.5801,5.87,-2.5467,5.87,5.74,0.786,SOFI,91868,0,0.71
103.66,106.1,-0.2387,105.78,104.47,0.6109,GOOGL,160103,-2,0.52
32.335,32.985,-0.8157,32.795,32.83,0.7132,INTC,131190,1,-1.83
187.73,201.62,-4.3794,200.0,193.67,0.8384,ENPH,37380,0,0.7
100.7506,103.91,-2.7417,103.91,101.1,0.5813,AMZN,587868,5,-0.87
124.85,126.27,0.7266,125.24,126.15,0.7325,EA,20706,0,0.0
8.39,9.38,-10.5263,9.38,8.5,0.3189,CVNA,23330,-2,-1.85
161.8,165.05,-1.129,164.74,163.76,0.6702,AAPL,877253,2,-9.35
91.36,94.5,-3.4526,94.35,92.56,0.7872,AMD,456579,0,-1.63
126.46,128.15,0.1491,126.8,127.61,0.609,JPM,82525,0,0.27
467.22,473.6,0.6003,467.22,470.91,0.5536,NOC,8036,0,0.0
3.94,4.09,3.5806,4.07,4.05,0.7224,AMC,412883,0,-0.55
209.95,215.19,-1.5089,214.15,211.48,0.5446,META,512545,-1,-3.58
263.95,269.98,-2.0836,268.29,268.81,0.9568,NVDA,421054,4,-3.53
282.95,287.145,-0.9889,285.85,284.34,0.5843,MSFT,442946,-1,-4.56
