open,percentchange,high,relvolume,low,symbol,price,watchers,hourchange,sentiment
32.795,-0.8157,32.985,0.7132,32.335,INTC,32.83,131190,0,-1.83
200.0,-4.3794,201.62,0.8384,187.73,ENPH,193.67,37381,1,0.45
103.91,-2.7417,103.91,0.5813,100.7506,AMZN,101.1,587872,4,-0.95
125.24,0.7266,126.27,0.7325,124.85,EA,126.15,20706,0,10.71
164.74,-1.129,165.05,0.6702,161.8,AAPL,163.76,877257,4,-9.16
9.38,-10.5263,9.38,0.3189,8.39,CVNA,8.5,23331,1,-1.66
94.35,-3.4526,94.5,0.7872,91.36,AMD,92.56,456579,0,-1.55
467.22,0.6003,473.6,0.5536,467.22,NOC,470.91,8036,0,0.0
126.8,0.1491,128.15,0.609,126.46,JPM,127.61,82525,0,0.35
4.07,3.5806,4.09,0.7224,3.94,AMC,4.05,412887,4,-0.73
214.15,-1.5089,215.19,0.5446,209.95,META,211.48,512545,0,-4.3
285.85,-0.9889,287.145,0.5843,282.95,MSFT,284.34,442945,-1,-4.56
268.29,-2.0836,269.98,0.9568,263.95,NVDA,268.81,421057,3,-3.53
190.515,-3.666,190.68,0.7518,183.76,TSLA,185.52,890617,8,-1.36
89.9,-1.4943,90.02,0.7198,89.5312,SONY,89.65,2087,0,0.0
131.37,0.4103,132.61,0.4187,131.37,IBM,132.14,51366,0,0.0
5.87,-2.5467,5.87,0.786,5.5801,SOFI,5.74,91872,4,0.68
105.78,-0.2387,106.1,0.6109,103.66,GOOGL,104.47,160103,0,-0.18
