relvolume,price,open,high,symbol,low,percentchange,watchers,hourchange,sentiment
0.7132,32.83,32.795,32.985,INTC,32.335,-0.8157,131190,0,-1.83
0.8384,193.67,200.0,201.62,ENPH,187.73,-4.3794,37381,1,0.45
0.5813,101.1,103.91,103.91,AMZN,100.7506,-2.7417,587872,4,-0.95
0.7325,126.15,125.24,126.27,EA,124.85,0.7266,20706,0,10.71
0.6702,163.76,164.74,165.05,AAPL,161.8,-1.129,877257,4,-9.16
0.7872,92.56,94.35,94.5,AMD,91.36,-3.4526,456579,0,-1.55
0.3189,8.5,9.38,9.38,CVNA,8.39,-10.5263,23331,1,-1.66
0.5536,470.91,467.22,473.6,NOC,467.22,0.6003,8036,0,0.0
0.7224,4.05,4.07,4.09,AMC,3.94,3.5806,412887,4,-0.73
0.609,127.61,126.8,128.15,JPM,126.46,0.1491,82525,0,0.35
0.5446,211.48,214.15,215.19,META,209.95,-1.5089,512545,0,-4.3
0.9568,268.81,268.29,269.98,NVDA,263.95,-2.0836,421057,3,-3.53
0.5843,284.34,285.85,287.145,MSFT,282.95,-0.9889,442945,-1,-4.56
0.7518,185.52,190.515,190.68,TSLA,183.76,-3.666,890617,8,-1.36
0.7198,89.65,89.9,90.02,SONY,89.5312,-1.4943,2087,0,0.0
0.4187,132.14,131.37,132.61,IBM,131.37,0.4103,51366,0,0.0
0.6109,104.47,105.78,106.1,GOOGL,103.66,-0.2387,160103,0,-0.18
0.786,5.74,5.87,5.87,SOFI,5.5801,-2.5467,91872,4,0.68
