percentchange,high,price,open,low,symbol,relvolume,watchers,hourchange,sentiment
0.7266,126.27,126.15,125.24,124.85,EA,0.7325,20706,0,10.71
-2.7417,103.91,101.1,103.91,100.7506,AMZN,0.5813,587878,6,-0.79
-1.129,165.05,163.76,164.74,161.8,AAPL,0.6702,877257,0,-9.17
-3.4526,94.5,92.56,94.35,91.36,AMD,0.7872,456578,-1,-1.57
0.6003,473.6,470.91,467.22,467.22,NOC,0.5536,8036,0,0.0
-10.5263,9.38,8.5,9.38,8.39,CVNA,0.3189,23329,-2,-1.66
-2.0836,269.98,268.81,268.29,263.95,NVDA,0.9568,421060,3,-3.56
-1.5089,215.19,211.48,214.15,209.95,META,0.5446,512552,7,-4.45
3.5806,4.09,4.05,4.07,3.94,AMC,0.7224,412892,5,-0.71
-0.9889,287.145,284.34,285.85,282.95,MSFT,0.5843,442949,4,-4.17
0.1491,128.15,127.61,126.8,126.46,JPM,0.609,82525,0,-0.04
-3.666,190.68,185.52,190.515,183.76,TSLA,0.7518,890624,7,-1.42
-1.4943,90.02,89.65,89.9,89.5312,SONY,0.7198,2087,0,0.0
0.4103,132.61,132.14,131.37,131.37,IBM,0.4187,51366,0,0.0
-2.5467,5.87,5.74,5.87,5.5801,SOFI,0.786,91874,2,0.48
-0.2387,106.1,104.47,105.78,103.66,GOOGL,0.6109,160105,2,-0.01
-0.8157,32.985,32.83,32.795,32.335,INTC,0.7132,131189,-1,-1.85
-4.3794,201.62,193.67,200.0,187.73,ENPH,0.8384,37381,0,0.52
