symbol,relvolume,percentchange,price,high,low,open,watchers,hourchange,sentiment
EA,0.7325,0.7266,126.15,126.27,124.85,125.24,20706,0,10.71
AMZN,0.5813,-2.7417,101.1,103.91,100.7506,103.91,587878,6,-0.79
AAPL,0.6702,-1.129,163.76,165.05,161.8,164.74,877257,0,-9.17
AMD,0.7872,-3.4526,92.56,94.5,91.36,94.35,456578,-1,-1.57
NOC,0.5536,0.6003,470.91,473.6,467.22,467.22,8036,0,0.0
CVNA,0.3189,-10.5263,8.5,9.38,8.39,9.38,23329,-2,-1.66
NVDA,0.9568,-2.0836,268.81,269.98,263.95,268.29,421060,3,-3.56
META,0.5446,-1.5089,211.48,215.19,209.95,214.15,512552,7,-4.45
AMC,0.7224,3.5806,4.05,4.09,3.94,4.07,412892,5,-0.71
MSFT,0.5843,-0.9889,284.34,287.145,282.95,285.85,442949,4,-4.17
JPM,0.609,0.1491,127.61,128.15,126.46,126.8,82525,0,-0.04
TSLA,0.7518,-3.666,185.52,190.68,183.76,190.515,890624,7,-1.42
SONY,0.7198,-1.4943,89.65,90.02,89.5312,89.9,2087,0,0.0
IBM,0.4187,0.4103,132.14,132.61,131.37,131.37,51366,0,0.0
SOFI,0.786,-2.5467,5.74,5.87,5.5801,5.87,91874,2,0.48
GOOGL,0.6109,-0.2387,104.47,106.1,103.66,105.78,160105,2,-0.01
INTC,0.7132,-0.8157,32.83,32.985,32.335,32.795,131189,-1,-1.85
ENPH,0.8384,-4.3794,193.67,201.62,187.73,200.0,37381,0,0.52
