relvolume,low,open,percentchange,high,price,symbol,watchers,hourchange,sentiment
0.7325,124.85,125.24,0.7266,126.27,126.15,EA,20706,0,10.71
0.5813,100.7506,103.91,-2.7417,103.91,101.1,AMZN,587878,6,-0.79
0.6702,161.8,164.74,-1.129,165.05,163.76,AAPL,877257,0,-9.17
0.7872,91.36,94.35,-3.4526,94.5,92.56,AMD,456578,-1,-1.57
0.5536,467.22,467.22,0.6003,473.6,470.91,NOC,8036,0,0.0
0.3189,8.39,9.38,-10.5263,9.38,8.5,CVNA,23329,-2,-1.66
0.9568,263.95,268.29,-2.0836,269.98,268.81,NVDA,421060,3,-3.56
0.5446,209.95,214.15,-1.5089,215.19,211.48,META,512552,7,-4.45
0.7224,3.94,4.07,3.5806,4.09,4.05,AMC,412892,5,-0.71
0.5843,282.95,285.85,-0.9889,287.145,284.34,MSFT,442949,4,-4.17
0.609,126.46,126.8,0.1491,128.15,127.61,JPM,82525,0,-0.04
0.7518,183.76,190.515,-3.666,190.68,185.52,TSLA,890624,7,-1.42
0.7198,89.5312,89.9,-1.4943,90.02,89.65,SONY,2087,0,0.0
0.4187,131.37,131.37,0.4103,132.61,132.14,IBM,51366,0,0.0
0.786,5.5801,5.87,-2.5467,5.87,5.74,SOFI,91874,2,0.48
0.6109,103.66,105.78,-0.2387,106.1,104.47,GOOGL,160105,2,-0.01
0.7132,32.335,32.795,-0.8157,32.985,32.83,INTC,131189,-1,-1.85
0.8384,187.73,200.0,-4.3794,201.62,193.67,ENPH,37381,0,0.52
