open,high,relvolume,price,percentchange,low,symbol,watchers,hourchange,sentiment
470.98,478.12,0.3183,476.105,1.2149,471.57,NOC,8041,-1,-8.33
289.208,289.475,0.54,289.42,-0.7476,284.72,MSFT,443153,5,-1.03
268.23,275.9,0.6226,275.72,1.9788,266.69,NVDA,421301,10,1.54
214.71,215.65,0.3835,215.545,-0.2568,210.66,META,512688,2,-1.05
189.09,195.2,0.3353,195.12,2.1571,188.51,ENPH,37403,0,-1.46
179.94,185.0994,0.7374,184.94,-0.0648,176.11,TSLA,891035,15,-1.29
162.43,161.86,0.5388,161.725,-1.7825,160.08,AAPL,877511,14,-2.28
129.83,131.02,0.2776,130.8,0.2299,129.24,IBM,51367,0,-0.93
126.54,128.22,0.4437,127.68,0.1647,126.22,JPM,82588,5,-2.19
124.79,125.75,0.2614,125.69,0.4235,123.74,EA,20704,0,8.08
106.98,107.59,0.5204,106.5,-1.7709,105.12,GOOGL,160288,7,-0.26
100.96,102.02,0.4349,101.905,-0.1519,99.57,AMZN,588079,10,-0.49
91.32,95.79,0.6655,95.7001,3.4931,91.02,AMD,456689,7,5.97
87.76,88.3,0.2909,88.3,0.1474,87.73,SONY,2087,0,0.0
32.6,32.76,0.3863,32.555,-0.7772,32.2,INTC,131220,0,0.83
9.0,9.35,0.273,9.205,2.1643,8.63,CVNA,23319,-4,1.19
5.69,5.9,0.4321,5.9,2.6087,5.66,SOFI,91903,1,0.35
4.77,5.37,1.098,5.275,7.6531,4.74,AMC,413141,1,0.56
