price,symbol,high,percentchange,open,relvolume,low,watchers,hourchange,sentiment
5.24,AMC,5.37,6.9388,4.77,1.2692,4.74,413139,-1,0.61
476.54,NOC,478.12,1.3074,470.98,0.4565,471.57,8041,0,-16.67
195.8,ENPH,195.9,2.5131,189.09,0.4136,188.51,37403,0,-2.15
275.79,NVDA,276.2099,2.0047,268.23,0.7128,266.69,421311,7,2.28
5.91,SOFI,5.92,2.7826,5.69,0.5343,5.66,91907,1,1.0
95.48,AMD,95.79,3.2551,91.32,0.7903,91.02,456694,0,8.89
162.03,AAPL,162.03,-1.5972,161.42,0.6369,160.08,877523,3,-3.62
214.75,META,215.66,-0.6247,214.71,0.4571,210.66,512686,0,-1.18
127.89,JPM,128.22,0.3295,126.54,0.5624,126.22,82589,2,-2.49
88.51,SONY,88.52,0.3856,87.76,0.4657,87.73,2088,1,0.0
106.44,GOOGL,107.59,-1.8262,106.98,0.6059,105.12,160299,3,-0.02
32.52,INTC,32.76,-0.8839,32.6,0.4854,32.2,131210,-2,-0.81
184.51,TSLA,185.0994,-0.2972,179.94,0.8207,176.11,891035,0,-0.31
131.03,IBM,131.08,0.4061,129.83,0.3796,129.24,51366,0,-1.68
9.31,CVNA,9.35,3.3296,9.0,0.3262,8.63,23316,-2,3.21
289.39,MSFT,289.6,-0.7579,289.208,0.6369,284.72,443161,0,-1.38
125.62,EA,125.8,0.3675,124.79,0.3892,123.74,20703,0,8.08
102.17,AMZN,102.2,0.1078,100.96,0.5167,99.57,588091,9,-0.46
