high,symbol,low,relvolume,open,percentchange,price,watchers,hourchange,sentiment
32.76,INTC,32.2,0.4854,32.6,-0.8839,32.52,131210,-2,-0.81
131.08,IBM,129.24,0.3796,129.83,0.4061,131.03,51366,0,-1.68
185.0994,TSLA,176.11,0.8207,179.94,-0.2972,184.51,891035,0,-0.31
289.6,MSFT,284.72,0.6369,289.208,-0.7579,289.39,443161,0,-1.38
9.35,CVNA,8.62,0.3262,9.0,3.3296,9.31,23316,-2,3.21
125.8,EA,123.74,0.3892,124.79,0.3675,125.62,20703,0,8.08
102.2,AMZN,99.57,0.5167,100.96,0.1078,102.17,588091,9,-0.46
5.37,AMC,4.74,1.2692,4.77,6.9388,5.24,413139,-1,0.61
478.17,NOC,470.98,0.4565,470.98,1.3074,476.54,8041,0,-16.67
195.9,ENPH,188.51,0.4136,189.09,2.5131,195.8,37403,0,-2.15
5.92,SOFI,5.66,0.5343,5.69,2.7826,5.91,91907,1,1.0
95.79,AMD,91.02,0.7903,91.32,3.2551,95.48,456694,0,8.89
276.2099,NVDA,266.69,0.7128,268.23,2.0047,275.79,421311,7,2.28
162.03,AAPL,160.08,0.6369,161.42,-1.5972,162.03,877523,3,-3.62
128.23,JPM,126.22,0.5624,126.54,0.3295,127.89,82589,2,-2.49
215.66,META,210.66,0.4571,214.71,-0.6247,214.75,512686,0,-1.18
88.52,SONY,87.73,0.4657,87.76,0.3856,88.51,2088,1,0.0
107.59,GOOGL,105.12,0.6059,106.98,-1.8262,106.44,160299,3,-0.02
