low,high,relvolume,open,price,percentchange,symbol,watchers,hourchange,sentiment
99.57,102.2,0.5167,100.96,102.17,0.1078,AMZN,588091,9,-0.46
4.74,5.37,1.2692,4.77,5.24,6.9388,AMC,413139,-1,0.61
470.98,478.17,0.4565,470.98,476.54,1.3074,NOC,8041,0,-16.67
188.51,195.9,0.4136,189.09,195.8,2.5131,ENPH,37403,0,-2.15
5.66,5.92,0.5343,5.69,5.91,2.7826,SOFI,91907,1,1.0
91.02,95.79,0.7903,91.32,95.48,3.2551,AMD,456694,0,8.89
266.69,276.2099,0.7128,268.23,275.79,2.0047,NVDA,421311,7,2.28
160.08,162.03,0.6369,161.42,162.03,-1.5972,AAPL,877523,3,-3.62
210.66,215.66,0.4571,214.71,214.75,-0.6247,META,512686,0,-1.18
126.22,128.23,0.5624,126.54,127.89,0.3295,JPM,82589,2,-2.49
87.73,88.52,0.4657,87.76,88.51,0.3856,SONY,2088,1,0.0
105.12,107.59,0.6059,106.98,106.44,-1.8262,GOOGL,160299,3,-0.02
32.2,32.76,0.4854,32.6,32.52,-0.8839,INTC,131210,-2,-0.81
129.24,131.08,0.3796,129.83,131.03,0.4061,IBM,51366,0,-1.68
176.11,185.0994,0.8207,179.94,184.51,-0.2972,TSLA,891035,0,-0.31
123.74,125.8,0.3892,124.79,125.62,0.3675,EA,20703,0,8.08
284.72,289.6,0.6369,289.208,289.39,-0.7579,MSFT,443161,0,-1.38
8.62,9.35,0.3262,9.0,9.31,3.3296,CVNA,23316,-2,3.21
