high,open,percentchange,low,symbol,relvolume,price,watchers,hourchange,sentiment
195.9,189.09,2.5131,188.51,ENPH,0.4136,195.8,37407,4,-1.76
478.17,470.98,1.3074,470.98,NOC,0.4565,476.54,8041,0,-16.67
95.79,91.32,3.2551,91.02,AMD,0.7903,95.48,456696,2,8.89
5.92,5.69,2.7826,5.66,SOFI,0.5343,5.91,91907,0,1.07
276.2099,268.23,2.0047,266.69,NVDA,0.7128,275.79,421316,5,2.28
162.03,161.42,-1.5972,160.08,AAPL,0.6369,162.03,877529,6,-3.75
128.23,126.54,0.3295,126.22,JPM,0.5624,127.89,82591,2,-2.49
215.66,214.71,-0.6247,210.66,META,0.4571,214.75,512690,4,-1.44
88.52,87.76,0.3856,87.73,SONY,0.4657,88.51,2088,0,0.0
107.59,106.98,-1.8262,105.12,GOOGL,0.6059,106.44,160299,0,0.22
32.76,32.6,-0.8839,32.2,INTC,0.4854,32.52,131211,1,-0.81
131.08,129.83,0.4061,129.24,IBM,0.3796,131.03,51364,-2,-1.68
125.8,124.79,0.3675,123.74,EA,0.3892,125.62,20703,0,4.44
185.0994,179.94,-0.2972,176.11,TSLA,0.8207,184.51,891043,8,-0.18
289.6,289.208,-0.7579,284.72,MSFT,0.6369,289.39,443164,3,-1.38
9.35,9.0,3.3296,8.62,CVNA,0.3262,9.31,23315,-1,3.35
102.2,100.96,0.1078,99.57,AMZN,0.5167,102.17,588098,7,-0.6
5.37,4.77,6.9388,4.74,AMC,1.2692,5.24,413138,-1,0.6
