percentchange,open,relvolume,high,low,symbol,price,watchers,hourchange,sentiment
-0.8839,32.6,0.4854,32.76,32.2,INTC,32.52,131211,1,-0.81
0.4061,129.83,0.3796,131.08,129.24,IBM,131.03,51364,-2,-1.68
-0.2972,179.94,0.8207,185.0994,176.11,TSLA,184.51,891043,8,-0.18
0.3675,124.79,0.3892,125.8,123.74,EA,125.62,20703,0,4.44
3.3296,9.0,0.3262,9.35,8.62,CVNA,9.31,23315,-1,3.35
-0.7579,289.208,0.6369,289.6,284.72,MSFT,289.39,443164,3,-1.38
0.1078,100.96,0.5167,102.2,99.57,AMZN,102.17,588098,7,-0.6
6.9388,4.77,1.2692,5.37,4.74,AMC,5.24,413138,-1,0.6
2.5131,189.09,0.4136,195.9,188.51,ENPH,195.8,37407,4,-1.76
1.3074,470.98,0.4565,478.17,470.98,NOC,476.54,8041,0,-16.67
3.2551,91.32,0.7903,95.79,91.02,AMD,95.48,456696,2,8.89
2.7826,5.69,0.5343,5.92,5.66,SOFI,5.91,91907,0,1.07
2.0047,268.23,0.7128,276.2099,266.69,NVDA,275.79,421316,5,2.28
-1.5972,161.42,0.6369,162.03,160.08,AAPL,162.03,877529,6,-3.75
0.3295,126.54,0.5624,128.23,126.22,JPM,127.89,82591,2,-2.49
-0.6247,214.71,0.4571,215.66,210.66,META,214.75,512690,4,-1.44
0.3856,87.76,0.4657,88.52,87.73,SONY,88.51,2088,0,0.0
-1.8262,106.98,0.6059,107.59,105.12,GOOGL,106.44,160299,0,0.22
