percentchange,price,open,relvolume,high,symbol,low,watchers,hourchange,sentiment
-0.2972,184.51,179.94,0.8207,185.0994,TSLA,176.11,891043,8,-0.18
0.3675,125.62,124.79,0.3892,125.8,EA,123.74,20703,0,4.44
-0.7579,289.39,289.208,0.6369,289.6,MSFT,284.72,443164,3,-1.38
3.3296,9.31,9.0,0.3262,9.35,CVNA,8.62,23315,-1,3.35
0.1078,102.17,100.96,0.5167,102.2,AMZN,99.57,588098,7,-0.6
6.9388,5.24,4.77,1.2692,5.37,AMC,4.74,413138,-1,0.6
2.5131,195.8,189.09,0.4136,195.9,ENPH,188.51,37407,4,-1.76
1.3074,476.54,470.98,0.4565,478.17,NOC,470.98,8041,0,-16.67
3.2551,95.48,91.32,0.7903,95.79,AMD,91.02,456696,2,8.89
2.7826,5.91,5.69,0.5343,5.92,SOFI,5.66,91907,0,1.07
2.0047,275.79,268.23,0.7128,276.2099,NVDA,266.69,421316,5,2.28
-1.5972,162.03,161.42,0.6369,162.03,AAPL,160.08,877529,6,-3.75
0.3295,127.89,126.54,0.5624,128.23,JPM,126.22,82591,2,-2.49
-0.6247,214.75,214.71,0.4571,215.66,META,210.66,512690,4,-1.44
0.3856,88.51,87.76,0.4657,88.52,SONY,87.73,2088,0,0.0
-1.8262,106.44,106.98,0.6059,107.59,GOOGL,105.12,160299,0,0.22
-0.8839,32.52,32.6,0.4854,32.76,INTC,32.2,131211,1,-0.81
0.4061,131.03,129.83,0.3796,131.08,IBM,129.24,51364,-2,-1.68
