relvolume,open,low,high,price,percentchange,symbol,watchers,hourchange,sentiment
0.4571,214.71,210.66,215.66,214.75,-0.6247,META,512693,1,-1.25
0.3892,124.79,123.74,125.8,125.62,0.3675,EA,20703,0,4.44
0.4854,32.6,32.2,32.76,32.52,-0.8839,INTC,131215,1,-0.52
0.3796,129.83,129.24,131.08,131.03,0.4061,IBM,51363,0,-1.29
0.3262,9.0,8.62,9.35,9.31,3.3296,CVNA,23316,0,3.61
0.6369,289.208,284.72,289.6,289.39,-0.7579,MSFT,443172,2,-1.14
0.8207,179.94,176.11,185.0994,184.51,-0.2972,TSLA,891057,0,-0.27
0.5167,100.96,99.57,102.2,102.17,0.1078,AMZN,588100,2,-1.79
0.4136,189.09,188.51,195.9,195.8,2.5131,ENPH,37410,2,-1.93
1.2692,4.77,4.74,5.37,5.24,6.9388,AMC,413138,0,1.96
0.4565,470.98,470.98,478.17,476.54,1.3074,NOC,8041,0,-16.67
0.7903,91.32,91.02,95.79,95.48,3.2551,AMD,456699,-1,8.35
0.7128,268.23,266.69,276.2099,275.79,2.0047,NVDA,421322,1,1.73
0.5343,5.69,5.66,5.92,5.91,2.7826,SOFI,91904,1,0.75
0.6369,161.42,160.08,162.03,162.03,-1.5972,AAPL,877534,2,-4.79
0.5624,126.54,126.22,128.23,127.89,0.3295,JPM,82596,-1,-2.66
0.6059,106.98,105.12,107.59,106.44,-1.8262,GOOGL,160304,0,0.19
0.4657,87.76,87.73,88.52,88.51,0.3856,SONY,2088,0,0.0
