percentchange,open,low,price,relvolume,symbol,high,watchers,hourchange,sentiment
-0.6247,214.71,210.66,214.75,0.4571,META,215.66,512693,1,-1.25
0.3675,124.79,123.74,125.62,0.3892,EA,125.8,20703,0,4.44
-0.8839,32.6,32.2,32.52,0.4854,INTC,32.76,131215,1,-0.52
0.4061,129.83,129.24,131.03,0.3796,IBM,131.08,51363,0,-1.29
3.3296,9.0,8.62,9.31,0.3262,CVNA,9.35,23316,0,3.61
-0.7579,289.208,284.72,289.39,0.6369,MSFT,289.6,443172,2,-1.14
-0.2972,179.94,176.11,184.51,0.8207,TSLA,185.0994,891057,0,-0.27
0.1078,100.96,99.57,102.17,0.5167,AMZN,102.2,588100,2,-1.79
2.5131,189.09,188.51,195.8,0.4136,ENPH,195.9,37410,2,-1.93
6.9388,4.77,4.74,5.24,1.2692,AMC,5.37,413138,0,1.96
1.3074,470.98,470.98,476.54,0.4565,NOC,478.17,8041,0,-16.67
3.2551,91.32,91.02,95.48,0.7903,AMD,95.79,456699,-1,8.35
2.0047,268.23,266.69,275.79,0.7128,NVDA,276.2099,421322,1,1.73
2.7826,5.69,5.66,5.91,0.5343,SOFI,5.92,91904,1,0.75
-1.5972,161.42,160.08,162.03,0.6369,AAPL,162.03,877534,2,-4.79
0.3295,126.54,126.22,127.89,0.5624,JPM,128.23,82596,-1,-2.66
-1.8262,106.98,105.12,106.44,0.6059,GOOGL,107.59,160304,0,0.19
0.3856,87.76,87.73,88.51,0.4657,SONY,88.52,2088,0,0.0
