symbol,percentchange,relvolume,low,high,open,price,watchers,hourchange,sentiment
NOC,-0.9485,0.2972,469.48,476.01,476.12,472.02,8039,0,5.0
MSFT,-1.9731,0.6089,281.64,285.87,285.75,283.68,443211,6,-2.33
NVDA,-0.6526,0.4494,271.26,277.89,277.235,273.9902,421353,0,0.04
META,0.1816,0.3718,213.83,216.02,215.48,215.14,512715,-2,-1.26
ENPH,1.2768,0.2631,193.14,199.04,195.9,198.3,37410,0,-0.72
TSLA,2.0918,0.5549,185.65,189.19,186.69,188.3696,891114,0,0.22
AAPL,-0.2072,0.4609,160.51,162.36,162.35,161.6943,877573,1,-4.38
IBM,-0.0114,0.3209,130.18,131.07,130.58,131.015,51364,0,-1.19
JPM,0.4613,0.4876,127.54,128.93,128.3,128.48,82602,0,-0.76
EA,0.3025,0.314,124.74,126.25,125.13,126.0,20704,0,-1.14
GOOGL,-0.559,0.4518,104.68,106.73,106.55,105.845,160313,2,0.08
AMZN,-1.8988,0.6529,99.01,100.99,100.8,100.23,588154,0,-5.74
AMD,-1.1618,0.6428,92.7,96.065,96.06,94.3707,456714,2,4.15
SONY,0.7909,0.3397,88.98,89.48,89.24,89.21,2089,0,0.0
INTC,0.0461,0.3357,32.45,33.11,32.66,32.535,131223,2,-8.82
CVNA,4.7304,0.6832,9.6,10.8485,9.79,9.7504,23332,0,13.79
SOFI,0.7614,0.4891,5.86,6.0095,5.91,5.955,91914,-2,2.52
AMC,6.126,0.7545,5.25,5.63,5.45,5.561,413156,1,4.16
