symbol,relvolume,high,price,low,percentchange,open,watchers,hourchange,sentiment
NOC,0.3577,476.01,469.28,469.0688,-1.5235,476.12,8039,0,5.0
MSFT,0.6489,285.87,283.82,281.64,-1.9247,285.75,443211,6,-2.33
NVDA,0.4862,277.89,272.7919,271.26,-1.0871,277.235,421353,0,0.04
META,0.4031,216.02,214.69,213.83,-0.0279,215.48,512715,-2,-1.26
ENPH,0.2887,199.04,197.1,193.14,0.6639,195.9,37410,0,-0.72
TSLA,0.592,189.19,187.59,185.65,1.6693,186.69,891114,0,0.22
AAPL,0.4956,162.36,161.45,160.51,-0.358,162.35,877573,1,-4.38
IBM,0.3512,131.095,131.0,130.18,-0.0229,130.58,51364,0,-1.19
JPM,0.5218,128.93,128.5869,127.54,0.5449,128.3,82602,0,-0.76
EA,0.3393,126.25,125.9,124.74,0.2229,125.13,20704,0,-1.14
GOOGL,0.492,106.73,105.98,104.68,-0.4322,106.55,160313,2,0.08
AMZN,0.7024,100.99,100.29,99.01,-1.8401,100.8,588154,0,-5.74
AMD,0.6934,96.065,94.165,92.7,-1.3773,96.06,456714,2,4.15
SONY,0.378,89.48,89.16,88.98,0.7344,89.24,2089,0,0.0
INTC,0.3689,33.11,32.495,32.45,-0.0769,32.66,131223,2,-8.82
CVNA,0.719,10.8485,9.7497,9.6,4.7229,9.79,23332,0,13.79
SOFI,0.5383,6.0095,5.965,5.86,0.9306,5.91,91914,-2,2.52
AMC,0.7978,5.63,5.5475,5.25,5.8683,5.45,413156,1,4.16
