low,relvolume,open,percentchange,high,symbol,price,watchers,hourchange,sentiment
9.6,0.7987,9.79,4.8335,10.8485,CVNA,9.76,23334,0,13.41
281.64,0.7591,285.75,-2.2634,285.87,MSFT,282.84,443222,0,-2.0
193.14,0.3554,195.9,0.5291,199.04,ENPH,196.8359,37408,0,-0.29
130.18,0.4743,130.58,-0.4846,131.1,IBM,130.395,51365,0,-0.83
88.83,0.5067,89.24,0.4745,89.48,SONY,88.93,2089,0,0.0
32.32,0.4705,32.66,-0.492,33.11,INTC,32.36,131221,0,-9.79
92.7,0.7947,96.06,-1.4977,96.065,AMD,94.05,456717,3,2.99
104.68,0.583,106.55,-1.01,106.73,GOOGL,105.365,160315,0,-0.21
5.86,0.662,5.91,0.9306,6.02,SOFI,5.965,91912,-2,2.29
271.26,0.5674,277.235,-1.483,277.89,NVDA,271.7,421363,5,1.17
185.65,0.6665,186.69,1.214,189.19,TSLA,186.75,891121,-1,0.49
213.43,0.4677,215.48,-0.4657,216.02,META,213.75,512720,4,-2.05
160.51,0.6091,162.35,-0.7715,162.36,AAPL,160.78,877585,7,-4.09
99.01,0.8239,100.8,-2.1826,100.99,AMZN,99.94,588166,5,-5.82
467.525,0.5013,476.12,-1.7816,476.01,NOC,468.05,8039,0,13.33
124.74,0.4521,125.13,0.0398,126.25,EA,125.67,20704,0,-13.64
127.54,0.6398,128.3,0.4926,128.935,JPM,128.52,82601,-1,1.62
5.25,0.9069,5.45,3.5305,5.63,AMC,5.425,413160,0,4.55
