open,symbol,price,relvolume,low,high,percentchange,watchers,hourchange,sentiment
277.235,NVDA,271.69,0.5674,271.26,277.89,-1.4866,421370,7,1.17
215.48,META,213.85,0.4677,213.43,216.02,-0.4191,512721,1,-3.01
186.69,TSLA,186.79,0.6665,185.65,189.19,1.2357,891135,14,0.49
162.35,AAPL,160.8,0.6091,160.51,162.36,-0.7591,877596,11,-3.9
100.8,AMZN,99.92,0.8239,99.01,100.99,-2.2022,588171,5,-5.7
476.12,NOC,468.27,0.5013,467.525,476.12,-1.7354,8038,-1,13.33
128.3,JPM,128.52,0.6398,127.54,128.94,0.4926,82601,0,1.62
125.13,EA,125.68,0.4521,124.74,126.25,0.0478,20704,0,-13.64
9.79,CVNA,9.76,0.7987,9.6,10.85,4.8335,23334,0,12.36
285.75,MSFT,282.83,0.7591,281.64,285.87,-2.2668,443228,6,-2.0
5.45,AMC,5.43,0.9069,5.25,5.63,3.626,413162,2,4.6
195.9,ENPH,196.88,0.3554,193.14,199.04,0.5516,37408,0,-0.55
89.24,SONY,88.91,0.5067,88.83,89.49,0.4519,2089,0,0.0
130.58,IBM,130.42,0.4743,130.18,131.105,-0.4655,51365,0,-0.43
106.55,GOOGL,105.35,0.583,104.68,106.73,-1.0241,160321,6,-0.26
96.06,AMD,94.03,0.7947,92.7,96.065,-1.5186,456721,4,3.18
32.66,INTC,32.35,0.4705,32.32,33.11,-0.5228,131220,-1,-9.79
5.91,SOFI,5.97,0.662,5.86,6.02,1.0152,91911,-1,2.72
