low,high,relvolume,open,price,symbol,percentchange,watchers,hourchange,sentiment
281.64,285.87,0.7591,285.75,282.83,MSFT,-2.2668,443230,2,-1.27
5.25,5.63,0.9069,5.45,5.43,AMC,3.626,413162,0,4.62
193.14,199.04,0.3554,195.9,196.88,ENPH,0.5516,37408,0,-0.54
88.83,89.49,0.5067,89.24,88.91,SONY,0.4519,2089,0,0.0
104.68,106.73,0.583,106.55,105.35,GOOGL,-1.0241,160321,0,-0.74
130.18,131.105,0.4743,130.58,130.42,IBM,-0.4655,51365,0,0.0
92.7,96.065,0.7947,96.06,94.03,AMD,-1.5186,456726,5,2.93
32.32,33.11,0.4705,32.66,32.35,INTC,-0.5228,131221,1,-9.96
5.86,6.02,0.662,5.91,5.97,SOFI,1.0152,91914,3,2.79
271.26,277.89,0.5674,277.235,271.69,NVDA,-1.4866,421372,2,0.95
213.43,216.02,0.4677,215.48,213.85,META,-0.4191,512721,0,-3.23
185.65,189.19,0.6665,186.69,186.79,TSLA,1.2357,891135,0,0.29
160.51,162.36,0.6091,162.35,160.8,AAPL,-0.7591,877600,4,-3.84
99.01,100.99,0.8239,100.8,99.92,AMZN,-2.2022,588179,8,-5.58
124.74,126.25,0.4521,125.13,125.68,EA,0.0478,20704,0,-10.0
127.54,128.94,0.6398,128.3,128.52,JPM,0.4926,82602,1,1.62
467.525,476.12,0.5013,476.12,468.27,NOC,-1.7354,8038,0,13.33
9.6,10.85,0.7987,9.79,9.76,CVNA,4.8335,23335,1,12.2
