symbol,relvolume,percentchange,high,open,low,price,watchers,hourchange,sentiment
TSLA,0.6665,1.2357,189.19,186.69,185.65,186.79,891135,0,0.29
AAPL,0.6091,-0.7591,162.36,162.35,160.51,160.8,877600,4,-3.84
AMZN,0.8239,-2.2022,100.99,100.8,99.01,99.92,588179,8,-5.58
NOC,0.5013,-1.7354,476.12,476.12,467.525,468.27,8038,0,13.33
EA,0.4521,0.0478,126.25,125.13,124.74,125.68,20704,0,-10.0
JPM,0.6398,0.4926,128.94,128.3,127.54,128.52,82602,1,1.62
CVNA,0.7987,4.8335,10.85,9.79,9.6,9.76,23335,1,12.2
AMC,0.9069,3.626,5.63,5.45,5.25,5.43,413162,0,4.62
MSFT,0.7591,-2.2668,285.87,285.75,281.64,282.83,443230,2,-1.27
ENPH,0.3554,0.5516,199.04,195.9,193.14,196.88,37408,0,-0.54
AMD,0.7947,-1.5186,96.065,96.06,92.7,94.03,456726,5,2.93
INTC,0.4705,-0.5228,33.11,32.66,32.32,32.35,131221,1,-9.96
SONY,0.5067,0.4519,89.49,89.24,88.83,88.91,2089,0,0.0
IBM,0.4743,-0.4655,131.105,130.58,130.18,130.42,51365,0,0.0
GOOGL,0.583,-1.0241,106.73,106.55,104.68,105.35,160321,0,-0.74
SOFI,0.662,1.0152,6.02,5.91,5.86,5.97,91914,3,2.79
NVDA,0.5674,-1.4866,277.89,277.235,271.26,271.69,421372,2,0.95
META,0.4677,-0.4191,216.02,215.48,213.43,213.85,512721,0,-3.23
