open,high,low,relvolume,percentchange,price,symbol,watchers,hourchange,sentiment
476.12,476.12,467.525,0.5013,-1.7354,468.27,NOC,8038,0,13.33
125.13,126.25,124.74,0.4521,0.0478,125.68,EA,20704,0,-10.0
128.3,128.94,127.54,0.6398,0.4926,128.52,JPM,82603,1,1.62
9.79,10.85,9.6,0.7987,4.8335,9.76,CVNA,23335,0,12.8
285.75,285.87,281.64,0.7591,-2.2668,282.83,MSFT,443234,4,-2.28
5.45,5.63,5.25,0.9069,3.626,5.43,AMC,413173,11,4.56
195.9,199.04,193.14,0.3554,0.5516,196.88,ENPH,37408,0,-0.43
96.06,96.065,92.7,0.7947,-1.5186,94.03,AMD,456723,-3,2.77
32.66,33.11,32.32,0.4705,-0.5228,32.35,INTC,131223,2,-8.19
106.55,106.73,104.68,0.583,-1.0241,105.35,GOOGL,160324,3,-0.89
89.24,89.49,88.83,0.5067,0.4519,88.91,SONY,2089,0,0.0
130.58,131.105,130.18,0.4743,-0.4655,130.42,IBM,51365,0,0.0
5.91,6.02,5.86,0.662,1.0152,5.97,SOFI,91917,3,3.12
277.235,277.89,271.26,0.5674,-1.4866,271.69,NVDA,421372,0,1.09
215.48,216.02,213.43,0.4677,-0.4191,213.85,META,512725,4,-3.23
186.69,189.19,185.65,0.6665,1.2357,186.79,TSLA,891136,1,0.16
162.35,162.36,160.51,0.6091,-0.7591,160.8,AAPL,877605,5,-4.15
100.8,100.99,99.01,0.8239,-2.2022,99.92,AMZN,588179,0,-5.43
