percentchange,price,open,high,relvolume,low,symbol,watchers,hourchange,sentiment
-1.4866,271.69,277.235,277.89,0.5674,271.26,NVDA,421372,0,1.09
-0.4191,213.85,215.48,216.02,0.4677,213.43,META,512725,4,-3.23
1.2357,186.79,186.69,189.19,0.6665,185.65,TSLA,891136,1,0.16
-0.7591,160.8,162.35,162.36,0.6091,160.51,AAPL,877605,5,-4.15
-2.2022,99.92,100.8,100.99,0.8239,99.01,AMZN,588179,0,-5.43
-1.7354,468.27,476.12,476.12,0.5013,467.525,NOC,8038,0,13.33
0.0478,125.68,125.13,126.25,0.4521,124.74,EA,20704,0,-10.0
0.4926,128.52,128.3,128.94,0.6398,127.54,JPM,82603,1,1.62
4.8335,9.76,9.79,10.85,0.7987,9.6,CVNA,23335,0,12.8
-2.2668,282.83,285.75,285.87,0.7591,281.64,MSFT,443234,4,-2.28
3.626,5.43,5.45,5.63,0.9069,5.25,AMC,413173,11,4.56
0.5516,196.88,195.9,199.04,0.3554,193.14,ENPH,37408,0,-0.43
-1.5186,94.03,96.06,96.065,0.7947,92.7,AMD,456723,-3,2.77
-0.5228,32.35,32.66,33.11,0.4705,32.32,INTC,131223,2,-8.19
-1.0241,105.35,106.55,106.73,0.583,104.68,GOOGL,160324,3,-0.89
0.4519,88.91,89.24,89.49,0.5067,88.83,SONY,2089,0,0.0
-0.4655,130.42,130.58,131.105,0.4743,130.18,IBM,51365,0,0.0
1.0152,5.97,5.91,6.02,0.662,5.86,SOFI,91917,3,3.12
