price,percentchange,high,relvolume,low,open,symbol,watchers,hourchange,sentiment
271.69,-1.4866,277.89,0.5674,271.26,277.235,NVDA,421372,0,1.09
213.85,-0.4191,216.02,0.4677,213.43,215.48,META,512725,4,-3.23
186.79,1.2357,189.19,0.6665,185.65,186.69,TSLA,891136,1,0.16
160.8,-0.7591,162.36,0.6091,160.51,162.35,AAPL,877605,5,-4.15
99.92,-2.2022,100.99,0.8239,99.01,100.8,AMZN,588179,0,-5.43
468.27,-1.7354,476.12,0.5013,467.525,476.12,NOC,8038,0,13.33
125.68,0.0478,126.25,0.4521,124.74,125.13,EA,20704,0,-10.0
9.76,4.8335,10.85,0.7987,9.6,9.79,CVNA,23335,0,12.8
128.52,0.4926,128.94,0.6398,127.54,128.3,JPM,82603,1,1.62
282.83,-2.2668,285.87,0.7591,281.64,285.75,MSFT,443234,4,-2.28
196.88,0.5516,199.04,0.3554,193.14,195.9,ENPH,37408,0,-0.43
5.43,3.626,5.63,0.9069,5.25,5.45,AMC,413173,11,4.56
94.03,-1.5186,96.065,0.7947,92.7,96.06,AMD,456723,-3,2.77
105.35,-1.0241,106.73,0.583,104.68,106.55,GOOGL,160324,3,-0.89
32.35,-0.5228,33.11,0.4705,32.32,32.66,INTC,131223,2,-8.19
88.91,0.4519,89.49,0.5067,88.83,89.24,SONY,2089,0,0.0
130.42,-0.4655,131.105,0.4743,130.18,130.58,IBM,51365,0,0.0
5.97,1.0152,6.02,0.662,5.86,5.91,SOFI,91917,3,3.12
