relvolume,low,price,percentchange,open,symbol,high,watchers,hourchange,sentiment
0.8239,99.01,99.92,-2.2022,100.8,AMZN,100.99,588179,0,-5.43
0.6398,127.54,128.52,0.4926,128.3,JPM,128.94,82603,1,1.62
0.5013,467.525,468.27,-1.7354,476.12,NOC,476.12,8038,0,13.33
0.4521,124.74,125.68,0.0478,125.13,EA,126.25,20704,0,-10.0
0.7987,9.6,9.76,4.8335,9.79,CVNA,10.85,23335,0,12.8
0.7591,281.64,282.83,-2.2668,285.75,MSFT,285.87,443234,4,-2.28
0.3554,193.14,196.88,0.5516,195.9,ENPH,199.04,37408,0,-0.43
0.9069,5.25,5.43,3.626,5.45,AMC,5.63,413173,11,4.56
0.7947,92.7,94.03,-1.5186,96.06,AMD,96.065,456723,-3,2.77
0.4705,32.32,32.35,-0.5228,32.66,INTC,33.11,131223,2,-8.19
0.583,104.68,105.35,-1.0241,106.55,GOOGL,106.73,160324,3,-0.89
0.4743,130.18,130.42,-0.4655,130.58,IBM,131.105,51365,0,0.0
0.5067,88.83,88.91,0.4519,89.24,SONY,89.49,2089,0,0.0
0.662,5.86,5.97,1.0152,5.91,SOFI,6.02,91917,3,3.12
0.5674,271.26,271.69,-1.4866,277.235,NVDA,277.89,421372,0,1.09
0.4677,213.43,213.85,-0.4191,215.48,META,216.02,512725,4,-3.23
0.6665,185.65,186.79,1.2357,186.69,TSLA,189.19,891136,1,0.16
0.6091,160.51,160.8,-0.7591,162.35,AAPL,162.36,877605,5,-4.15
