high,open,symbol,percentchange,relvolume,low,price,watchers,hourchange,sentiment
126.25,125.13,EA,0.0478,0.4521,124.74,125.68,20704,0,-10.0
162.36,162.35,AAPL,-0.7591,0.6091,160.51,160.8,877605,0,-3.63
189.19,186.69,TSLA,1.2357,0.6665,185.65,186.79,891143,7,0.33
100.99,100.8,AMZN,-2.2022,0.8239,99.01,99.92,588182,3,-4.85
128.94,128.3,JPM,0.4926,0.6398,127.54,128.52,82604,1,1.62
10.85,9.79,CVNA,4.8335,0.7987,9.6,9.76,23337,2,12.8
476.12,476.12,NOC,-1.7354,0.5013,467.525,468.27,8038,0,13.33
285.87,285.75,MSFT,-2.2668,0.7591,281.64,282.83,443240,6,-2.93
5.63,5.45,AMC,3.626,0.9069,5.25,5.43,413171,-2,4.32
199.04,195.9,ENPH,0.5516,0.3554,193.14,196.88,37408,0,-0.49
96.065,96.06,AMD,-1.5186,0.7947,92.7,94.03,456723,0,3.11
106.73,106.55,GOOGL,-1.0241,0.583,104.68,105.35,160326,2,-0.92
33.11,32.66,INTC,-0.5228,0.4705,32.32,32.35,131224,1,-8.94
131.105,130.58,IBM,-0.4655,0.4743,130.18,130.42,51367,2,0.0
89.49,89.24,SONY,0.4519,0.5067,88.83,88.91,2089,0,0.0
6.02,5.91,SOFI,1.0152,0.662,5.86,5.97,91918,1,3.19
277.89,277.235,NVDA,-1.4866,0.5674,271.26,271.69,421376,4,1.35
216.02,215.48,META,-0.4191,0.4677,213.43,213.85,512735,10,-2.71
