open,high,symbol,percentchange,price,low,relvolume,watchers,hourchange,sentiment
125.13,126.25,EA,0.0478,125.68,124.74,0.4521,20704,0,-10.0
162.35,162.36,AAPL,-0.7591,160.8,160.51,0.6091,877605,0,-3.63
186.69,189.19,TSLA,1.2357,186.79,185.65,0.6665,891143,7,0.33
100.8,100.99,AMZN,-2.2022,99.92,99.01,0.8239,588182,3,-4.85
128.3,128.94,JPM,0.4926,128.52,127.54,0.6398,82604,1,1.62
9.79,10.85,CVNA,4.8335,9.76,9.6,0.7987,23337,2,12.8
476.12,476.12,NOC,-1.7354,468.27,467.525,0.5013,8038,0,13.33
285.75,285.87,MSFT,-2.2668,282.83,281.64,0.7591,443240,6,-2.93
5.45,5.63,AMC,3.626,5.43,5.25,0.9069,413171,-2,4.32
195.9,199.04,ENPH,0.5516,196.88,193.14,0.3554,37408,0,-0.49
96.06,96.065,AMD,-1.5186,94.03,92.7,0.7947,456723,0,3.11
106.55,106.73,GOOGL,-1.0241,105.35,104.68,0.583,160326,2,-0.92
32.66,33.11,INTC,-0.5228,32.35,32.32,0.4705,131224,1,-8.94
130.58,131.105,IBM,-0.4655,130.42,130.18,0.4743,51367,2,0.0
89.24,89.49,SONY,0.4519,88.91,88.83,0.5067,2089,0,0.0
5.91,6.02,SOFI,1.0152,5.97,5.86,0.662,91918,1,3.19
277.235,277.89,NVDA,-1.4866,271.69,271.26,0.5674,421376,4,1.35
215.48,216.02,META,-0.4191,213.85,213.43,0.4677,512735,10,-2.71
