price,open,symbol,high,low,percentchange,relvolume,watchers,hourchange,sentiment
125.68,125.13,EA,126.25,124.74,0.0478,0.4521,20704,0,-10.0
160.8,162.35,AAPL,162.36,160.51,-0.7591,0.6091,877605,0,-3.63
186.79,186.69,TSLA,189.19,185.65,1.2357,0.6665,891143,7,0.33
99.92,100.8,AMZN,100.99,99.01,-2.2022,0.8239,588182,3,-4.85
128.52,128.3,JPM,128.94,127.54,0.4926,0.6398,82604,1,1.62
9.76,9.79,CVNA,10.85,9.6,4.8335,0.7987,23337,2,12.8
468.27,476.12,NOC,476.12,467.525,-1.7354,0.5013,8038,0,13.33
282.83,285.75,MSFT,285.87,281.64,-2.2668,0.7591,443240,6,-2.93
5.43,5.45,AMC,5.63,5.25,3.626,0.9069,413171,-2,4.32
196.88,195.9,ENPH,199.04,193.14,0.5516,0.3554,37408,0,-0.49
94.03,96.06,AMD,96.065,92.7,-1.5186,0.7947,456723,0,3.11
105.35,106.55,GOOGL,106.73,104.68,-1.0241,0.583,160326,2,-0.92
32.35,32.66,INTC,33.11,32.32,-0.5228,0.4705,131224,1,-8.94
130.42,130.58,IBM,131.105,130.18,-0.4655,0.4743,51367,2,0.0
88.91,89.24,SONY,89.49,88.83,0.4519,0.5067,2089,0,0.0
5.97,5.91,SOFI,6.02,5.86,1.0152,0.662,91918,1,3.19
271.69,277.235,NVDA,277.89,271.26,-1.4866,0.5674,421376,4,1.35
213.85,215.48,META,216.02,213.43,-0.4191,0.4677,512735,10,-2.71
