low,high,percentchange,open,symbol,price,relvolume,watchers,hourchange,sentiment
124.74,126.25,0.0478,125.13,EA,125.68,0.4521,20704,0,-10.0
160.51,162.36,-0.7591,162.35,AAPL,160.8,0.6091,877607,2,-3.62
185.65,189.19,1.2357,186.69,TSLA,186.79,0.6665,891147,4,0.32
99.01,100.99,-2.2022,100.8,AMZN,99.92,0.8239,588187,5,-4.92
127.54,128.94,0.4926,128.3,JPM,128.52,0.6398,82602,-2,1.62
9.6,10.85,4.8335,9.79,CVNA,9.76,0.7987,23337,0,11.81
467.525,476.12,-1.7354,476.12,NOC,468.27,0.5013,8038,0,13.33
281.64,285.87,-2.2668,285.75,MSFT,282.83,0.7591,443236,-4,-2.78
5.25,5.63,3.626,5.45,AMC,5.43,0.9069,413173,2,3.79
193.14,199.04,0.5516,195.9,ENPH,196.88,0.3554,37407,-1,-0.45
92.7,96.065,-1.5186,96.06,AMD,94.03,0.7947,456724,1,3.12
104.68,106.73,-1.0241,106.55,GOOGL,105.35,0.583,160326,0,-0.74
32.32,33.11,-0.5228,32.66,INTC,32.35,0.4705,131225,1,-10.5
130.18,131.105,-0.4655,130.58,IBM,130.42,0.4743,51367,0,0.0
88.83,89.49,0.4519,89.24,SONY,88.91,0.5067,2089,0,0.0
5.86,6.02,1.0152,5.91,SOFI,5.97,0.662,91920,2,3.16
271.26,277.89,-1.4866,277.235,NVDA,271.69,0.5674,421378,2,1.58
213.43,216.02,-0.4191,215.48,META,213.85,0.4677,512735,0,-2.83
