relvolume,low,open,symbol,price,percentchange,high,watchers,hourchange,sentiment
0.4521,124.74,125.13,EA,125.68,0.0478,126.25,20704,0,-10.0
0.6091,160.51,162.35,AAPL,160.8,-0.7591,162.36,877607,2,-3.62
0.6665,185.65,186.69,TSLA,186.79,1.2357,189.19,891147,4,0.32
0.8239,99.01,100.8,AMZN,99.92,-2.2022,100.99,588187,5,-4.92
0.6398,127.54,128.3,JPM,128.52,0.4926,128.94,82602,-2,1.62
0.7987,9.6,9.79,CVNA,9.76,4.8335,10.85,23337,0,11.81
0.5013,467.525,476.12,NOC,468.27,-1.7354,476.12,8038,0,13.33
0.7591,281.64,285.75,MSFT,282.83,-2.2668,285.87,443236,-4,-2.78
0.9069,5.25,5.45,AMC,5.43,3.626,5.63,413173,2,3.79
0.3554,193.14,195.9,ENPH,196.88,0.5516,199.04,37407,-1,-0.45
0.7947,92.7,96.06,AMD,94.03,-1.5186,96.065,456724,1,3.12
0.583,104.68,106.55,GOOGL,105.35,-1.0241,106.73,160326,0,-0.74
0.4705,32.32,32.66,INTC,32.35,-0.5228,33.11,131225,1,-10.5
0.4743,130.18,130.58,IBM,130.42,-0.4655,131.105,51367,0,0.0
0.5067,88.83,89.24,SONY,88.91,0.4519,89.49,2089,0,0.0
0.662,5.86,5.91,SOFI,5.97,1.0152,6.02,91920,2,3.16
0.5674,271.26,277.235,NVDA,271.69,-1.4866,277.89,421378,2,1.58
0.4677,213.43,215.48,META,213.85,-0.4191,216.02,512735,0,-2.83
