high,price,percentchange,open,relvolume,low,symbol,watchers,hourchange,sentiment
126.25,125.68,0.0478,125.13,0.4521,124.74,EA,20704,0,-10.0
162.36,160.8,-0.7591,162.35,0.6091,160.51,AAPL,877607,2,-3.62
189.19,186.79,1.2357,186.69,0.6665,185.65,TSLA,891147,4,0.32
100.99,99.92,-2.2022,100.8,0.8239,99.01,AMZN,588187,5,-4.92
128.94,128.52,0.4926,128.3,0.6398,127.54,JPM,82602,-2,1.62
10.85,9.76,4.8335,9.79,0.7987,9.6,CVNA,23337,0,11.81
476.12,468.27,-1.7354,476.12,0.5013,467.525,NOC,8038,0,13.33
285.87,282.83,-2.2668,285.75,0.7591,281.64,MSFT,443236,-4,-2.78
5.63,5.43,3.626,5.45,0.9069,5.25,AMC,413173,2,3.79
199.04,196.88,0.5516,195.9,0.3554,193.14,ENPH,37407,-1,-0.45
96.065,94.03,-1.5186,96.06,0.7947,92.7,AMD,456724,1,3.12
106.73,105.35,-1.0241,106.55,0.583,104.68,GOOGL,160326,0,-0.74
33.11,32.35,-0.5228,32.66,0.4705,32.32,INTC,131225,1,-10.5
131.105,130.42,-0.4655,130.58,0.4743,130.18,IBM,51367,0,0.0
89.49,88.91,0.4519,89.24,0.5067,88.83,SONY,2089,0,0.0
6.02,5.97,1.0152,5.91,0.662,5.86,SOFI,91920,2,3.16
277.89,271.69,-1.4866,277.235,0.5674,271.26,NVDA,421378,2,1.58
216.02,213.85,-0.4191,215.48,0.4677,213.43,META,512735,0,-2.83
