high,open,relvolume,price,symbol,percentchange,low,watchers,hourchange,sentiment
126.25,125.13,0.4521,125.68,EA,0.0478,124.74,20704,0,-10.0
162.36,162.35,0.6091,160.8,AAPL,-0.7591,160.51,877607,2,-3.62
189.19,186.69,0.6665,186.79,TSLA,1.2357,185.65,891147,4,0.32
100.99,100.8,0.8239,99.92,AMZN,-2.2022,99.01,588187,5,-4.92
128.94,128.3,0.6398,128.52,JPM,0.4926,127.54,82602,-2,1.62
10.85,9.79,0.7987,9.76,CVNA,4.8335,9.6,23337,0,11.81
476.12,476.12,0.5013,468.27,NOC,-1.7354,467.525,8038,0,13.33
285.87,285.75,0.7591,282.83,MSFT,-2.2668,281.64,443236,-4,-2.78
5.63,5.45,0.9069,5.43,AMC,3.626,5.25,413173,2,3.79
199.04,195.9,0.3554,196.88,ENPH,0.5516,193.14,37407,-1,-0.45
96.065,96.06,0.7947,94.03,AMD,-1.5186,92.7,456724,1,3.12
106.73,106.55,0.583,105.35,GOOGL,-1.0241,104.68,160326,0,-0.74
33.11,32.66,0.4705,32.35,INTC,-0.5228,32.32,131225,1,-10.5
131.105,130.58,0.4743,130.42,IBM,-0.4655,130.18,51367,0,0.0
89.49,89.24,0.5067,88.91,SONY,0.4519,88.83,2089,0,0.0
6.02,5.91,0.662,5.97,SOFI,1.0152,5.86,91920,2,3.16
277.89,277.235,0.5674,271.69,NVDA,-1.4866,271.26,421378,2,1.58
216.02,215.48,0.4677,213.85,META,-0.4191,213.43,512735,0,-2.83
