open,percentchange,symbol,low,price,relvolume,high,watchers,hourchange,sentiment
467.43,0.8521,NOC,466.03,472.26,0.3002,474.7299,8038,-1,0.0
284.79,0.5727,MSFT,281.96,284.4499,0.5681,287.01,443288,5,-1.4
273.7,-1.9914,NVDA,265.17,266.2795,0.6906,274.63,421415,3,4.54
214.835,0.3834,META,212.584,214.67,0.4471,216.84,512748,-4,-1.46
199.9,0.3733,ENPH,196.78,197.615,0.3394,201.26,37404,0,1.84
190.74,-2.8856,TSLA,181.1,181.4,0.7342,191.58,891202,-3,0.82
161.22,-0.2301,AAPL,160.265,160.43,0.499,162.06,877675,0,1.49
130.4,-1.3111,IBM,128.67,128.71,0.3977,130.87,51367,-2,-1.59
129.18,0.112,JPM,128.0603,128.664,0.5062,130.43,82616,-5,4.11
126.28,0.5968,EA,125.82,126.43,0.2642,127.1812,20701,-1,-29.17
106.58,-0.8733,GOOGL,104.34,104.43,0.3925,106.75,160344,0,-0.37
100.4,-1.5162,AMZN,98.28,98.405,0.6145,100.51,588243,0,-2.57
94.97,-1.5197,AMD,91.74,92.601,0.6925,94.995,456742,1,5.31
90.0,0.7423,SONY,89.37,89.57,0.305,90.4,2089,0,0.0
32.77,-1.0504,INTC,31.96,32.0102,0.4156,32.89,131237,0,-3.12
9.79,-5.5328,CVNA,8.79,9.22,0.5153,10.32,23331,0,7.45
6.06,-2.3451,SOFI,5.67,5.83,0.8152,6.05,91920,2,1.13
5.62,3.5672,AMC,5.51,5.6237,0.6082,5.74,413215,8,1.13
