price,symbol,low,high,open,relvolume,percentchange,watchers,hourchange,sentiment
471.74,NOC,466.03,474.7299,467.43,0.3219,0.741,8038,0,0.0
283.7926,MSFT,281.96,287.01,284.79,0.6081,0.3403,443295,7,-1.17
265.16,NVDA,264.8001,274.63,273.7,0.7456,-2.4035,421418,3,4.17
214.145,META,212.584,216.84,214.835,0.4776,0.1379,512754,6,-0.58
196.085,ENPH,196.085,201.26,199.9,0.3677,-0.4038,37406,2,2.01
180.565,TSLA,180.32,191.58,190.74,0.7862,-3.3326,891214,12,0.73
160.24,AAPL,160.19,162.06,161.22,0.5395,-0.3483,877676,1,1.58
128.5831,JPM,128.0603,130.43,129.18,0.5461,0.0491,82618,2,3.1
128.515,IBM,128.5,130.87,130.4,0.4427,-1.4607,51367,0,-1.0
126.36,EA,125.82,127.1812,126.28,0.2851,0.5411,20701,0,-29.17
104.605,GOOGL,104.34,106.75,106.58,0.4253,-0.7072,160345,1,-0.31
98.11,AMZN,98.05,100.51,100.4,0.6557,-1.8114,588245,2,-2.17
92.18,AMD,91.74,94.995,94.97,0.7374,-1.9675,456743,1,5.29
89.5001,SONY,89.37,90.4,90.0,0.3513,0.6637,2089,0,0.0
32.08,INTC,31.96,32.89,32.77,0.4624,-0.8346,131236,-1,-2.33
9.175,CVNA,8.79,10.32,9.79,0.5347,-5.9939,23330,-1,7.63
5.825,SOFI,5.67,6.05,6.06,0.8676,-2.4288,91922,2,1.26
5.475,AMC,5.47,5.74,5.62,0.6692,0.8287,413221,6,1.07
