low,percentchange,high,symbol,relvolume,open,price,watchers,hourchange,sentiment
5.67,-2.5126,6.05,SOFI,0.9555,6.06,5.82,91919,-3,0.41
128.17,-1.4415,130.8857,IBM,0.6074,130.4,128.54,51367,0,-2.02
466.03,0.961,474.7299,NOC,0.4255,467.43,472.77,8038,0,0.0
125.82,0.3581,127.1812,EA,0.4105,126.28,126.13,20701,0,-29.17
91.74,-1.8079,94.995,AMD,0.8136,94.97,92.33,456743,0,6.05
8.79,-5.3279,10.32,CVNA,0.5844,10.13,9.24,23327,-3,7.13
281.96,0.2334,287.01,MSFT,0.7301,284.79,283.49,443292,-3,-1.14
159.78,-0.4353,162.06,AAPL,0.6508,161.22,160.1,877680,4,1.44
5.34,-1.6575,5.74,AMC,0.827,5.62,5.34,413219,-2,0.98
89.29,0.5961,90.4,SONY,0.4882,90.0,89.44,2089,0,0.0
264.4786,-2.4808,274.63,NVDA,0.8408,273.7,264.95,421423,5,3.47
128.0603,-0.0156,130.43,JPM,0.66,129.18,128.5,82618,0,1.61
212.584,0.0701,216.84,META,0.5478,214.835,214.0,512757,3,-1.12
180.31,-3.346,191.58,TSLA,0.8639,190.74,180.54,891210,-4,-0.11
97.705,-2.0917,100.51,AMZN,0.7773,100.4,97.83,588249,4,-1.86
195.81,-0.4317,201.26,ENPH,0.4414,199.9,196.03,37406,0,1.77
104.34,-0.6739,106.75,GOOGL,0.5099,106.58,104.64,160339,-6,-0.07
31.96,-1.0201,32.89,INTC,0.5877,32.77,32.02,131234,-2,-3.82
