price,open,percentchange,relvolume,low,symbol,high,watchers,hourchange,sentiment
32.02,32.77,-1.0201,0.5877,31.96,INTC,32.89,131233,-1,-6.78
5.82,6.06,-2.5126,0.9555,5.67,SOFI,6.05,91917,-1,-0.5
128.54,130.4,-1.4415,0.6074,128.18,IBM,130.87,51368,1,-2.42
472.77,467.43,0.961,0.4255,466.03,NOC,474.7299,8038,0,0.0
283.49,284.79,0.2334,0.7301,281.96,MSFT,287.01,443297,3,-0.96
126.13,126.28,0.3581,0.4105,125.82,EA,127.1812,20702,0,-16.67
92.33,94.97,-1.8079,0.8136,91.74,AMD,94.995,456750,5,6.1
160.1,161.22,-0.4353,0.6508,159.78,AAPL,162.06,877684,0,0.61
9.24,9.79,-5.3279,0.5844,8.79,CVNA,10.32,23329,-1,5.68
5.34,5.62,-1.6575,0.827,5.34,AMC,5.74,413218,5,0.36
89.44,90.0,0.5961,0.4882,89.29,SONY,90.4,2089,0,0.0
128.5,129.18,-0.0156,0.66,128.0603,JPM,130.43,82620,4,-2.58
180.54,190.74,-3.346,0.8639,180.31,TSLA,191.58,891221,4,-0.24
214.0,214.835,0.0701,0.5478,212.584,META,216.84,512762,4,-1.37
264.95,273.7,-2.4808,0.8408,264.4786,NVDA,274.63,421433,4,0.6
196.03,199.9,-0.4317,0.4414,195.81,ENPH,201.26,37409,0,2.25
97.83,100.4,-2.0917,0.7773,97.705,AMZN,100.51,588268,10,-0.64
104.64,106.58,-0.6739,0.5099,104.34,GOOGL,106.75,160343,0,0.11
