open,low,percentchange,symbol,high,relvolume,price,watchers,hourchange,sentiment
129.18,128.0603,-0.0156,JPM,130.43,0.66,128.5,82620,4,-2.58
190.74,180.31,-3.346,TSLA,191.58,0.8639,180.54,891221,4,-0.24
214.835,212.584,0.0701,META,216.84,0.5478,214.0,512762,4,-1.37
273.7,264.4786,-2.4808,NVDA,274.63,0.8408,264.95,421433,4,0.6
199.9,195.81,-0.4317,ENPH,201.26,0.4414,196.03,37409,0,2.25
100.4,97.705,-2.0917,AMZN,100.51,0.7773,97.83,588268,10,-0.64
106.58,104.34,-0.6739,GOOGL,106.75,0.5099,104.64,160343,0,0.11
32.77,31.96,-1.0201,INTC,32.89,0.5877,32.02,131233,-1,-6.78
130.4,128.18,-1.4415,IBM,130.87,0.6074,128.54,51368,1,-2.42
6.06,5.67,-2.5126,SOFI,6.05,0.9555,5.82,91917,-1,-0.5
467.43,466.03,0.961,NOC,474.7299,0.4255,472.77,8038,0,0.0
284.79,281.96,0.2334,MSFT,287.01,0.7301,283.49,443297,3,-0.96
126.28,125.82,0.3581,EA,127.1812,0.4105,126.13,20702,0,-16.67
9.79,8.79,-5.3279,CVNA,10.32,0.5844,9.24,23329,-1,5.68
94.97,91.74,-1.8079,AMD,94.995,0.8136,92.33,456750,5,6.1
161.22,159.78,-0.4353,AAPL,162.06,0.6508,160.1,877684,0,0.61
5.62,5.34,-1.6575,AMC,5.74,0.827,5.34,413218,5,0.36
90.0,89.29,0.5961,SONY,90.4,0.4882,89.44,2089,0,0.0
