low,relvolume,price,high,open,percentchange,symbol,watchers,hourchange,sentiment
281.96,0.7301,283.49,287.01,284.79,0.2334,MSFT,443296,-1,-1.09
125.82,0.4105,126.13,127.1812,126.28,0.3581,EA,20703,1,-16.67
159.78,0.6508,160.1,162.06,161.22,-0.4353,AAPL,877684,0,0.56
91.74,0.8136,92.33,94.995,94.97,-1.8079,AMD,456747,-3,5.51
5.34,0.827,5.34,5.74,5.62,-1.6575,AMC,413218,0,0.29
8.79,0.5844,9.24,10.32,9.79,-5.3279,CVNA,23329,0,6.11
89.29,0.4882,89.44,90.4,90.0,0.5961,SONY,2089,0,0.0
128.0603,0.66,128.5,130.43,129.18,-0.0156,JPM,82624,4,-2.61
180.31,0.8639,180.54,191.58,190.74,-3.346,TSLA,891227,6,-0.51
212.584,0.5478,214.0,216.84,214.835,0.0701,META,512766,4,-1.62
264.4786,0.8408,264.95,274.63,273.7,-2.4808,NVDA,421444,11,-0.08
97.705,0.7773,97.83,100.51,100.4,-2.0917,AMZN,588273,5,-0.7
195.81,0.4414,196.03,201.26,199.9,-0.4317,ENPH,37410,1,2.18
104.34,0.5099,104.64,106.75,106.58,-0.6739,GOOGL,160344,1,0.05
31.96,0.5877,32.02,32.89,32.77,-1.0201,INTC,131233,0,-6.94
128.18,0.6074,128.54,130.87,130.4,-1.4415,IBM,51369,1,-2.42
466.03,0.4255,472.77,474.7299,467.43,0.961,NOC,8038,0,3.33
5.67,0.9555,5.82,6.05,6.06,-2.5126,SOFI,91916,-1,-0.54
