percentchange,symbol,relvolume,open,price,low,high,watchers,hourchange,sentiment
0.2334,MSFT,0.7301,284.79,283.49,281.96,287.01,443296,0,-1.71
0.3581,EA,0.4105,126.28,126.13,125.82,127.1812,20703,0,-16.67
-0.4353,AAPL,0.6508,161.22,160.1,159.78,162.06,877688,4,0.58
-1.8079,AMD,0.8136,94.97,92.33,91.74,94.995,456745,-2,5.58
-1.6575,AMC,0.827,5.62,5.34,5.34,5.74,413218,0,0.01
-5.3279,CVNA,0.5844,9.79,9.24,8.79,10.32,23329,0,5.67
0.5961,SONY,0.4882,90.0,89.44,89.29,90.4,2089,0,0.0
-0.0156,JPM,0.66,129.18,128.5,128.0603,130.43,82625,1,-3.21
-3.346,TSLA,0.8639,190.74,180.54,180.31,191.58,891235,8,-0.46
0.0701,META,0.5478,214.835,214.0,212.584,216.84,512769,3,-1.85
-2.4808,NVDA,0.8408,273.7,264.95,264.4786,274.63,421444,0,-0.32
-2.0917,AMZN,0.7773,100.4,97.83,97.705,100.51,588275,2,-0.12
-0.4317,ENPH,0.4414,199.9,196.03,195.81,201.26,37410,0,2.29
-0.6739,GOOGL,0.5099,106.58,104.64,104.34,106.75,160346,2,0.16
-1.0201,INTC,0.5877,32.77,32.02,31.96,32.89,131233,0,-7.09
-1.4415,IBM,0.6074,130.4,128.54,128.18,130.87,51369,0,-2.42
0.961,NOC,0.4255,467.43,472.77,466.03,474.7299,8038,0,3.33
-2.5126,SOFI,0.9555,6.06,5.82,5.67,6.05,91916,0,-0.34
