symbol,price,open,percentchange,high,relvolume,low,watchers,hourchange,sentiment
MSFT,283.49,284.79,0.2334,287.01,0.7301,281.96,443295,-1,-1.45
EA,126.13,126.28,0.3581,127.1812,0.4105,125.82,20703,0,-16.67
AAPL,160.1,161.22,-0.4353,162.06,0.6508,159.78,877691,3,0.66
AMD,92.33,94.97,-1.8079,94.995,0.8136,91.74,456745,0,5.79
AMC,5.34,5.62,-1.6575,5.74,0.827,5.34,413217,-1,-0.28
CVNA,9.24,9.79,-5.3279,10.32,0.5844,8.79,23330,1,6.51
SONY,89.44,90.0,0.5961,90.4,0.4882,89.29,2089,0,0.0
JPM,128.5,129.18,-0.0156,130.43,0.66,128.0603,82625,0,-2.34
TSLA,180.54,190.74,-3.346,191.58,0.8639,180.31,891244,9,-0.47
META,214.0,214.835,0.0701,216.84,0.5478,212.584,512770,1,-1.58
NVDA,264.95,273.7,-2.4808,274.63,0.8408,264.4786,421445,1,-0.42
AMZN,97.83,100.4,-2.0917,100.51,0.7773,97.705,588281,6,0.08
ENPH,196.03,199.9,-0.4317,201.26,0.4414,195.81,37410,0,2.33
GOOGL,104.64,106.58,-0.6739,106.75,0.5099,104.34,160350,4,0.6
INTC,32.02,32.77,-1.0201,32.89,0.5877,31.96,131233,0,-7.09
IBM,128.54,130.4,-1.4415,130.87,0.6074,128.18,51369,0,-3.07
NOC,472.77,467.43,0.961,474.7299,0.4255,466.03,8038,0,3.33
SOFI,5.82,6.06,-2.5126,6.05,0.9555,5.67,91916,0,-0.42
