relvolume,price,high,open,percentchange,low,symbol,watchers,hourchange,sentiment
0.278,475.74,475.8156,472.0,0.6282,469.78,NOC,8038,0,-8.57
0.454,288.82,288.9,283.59,1.8801,283.17,MSFT,443339,9,-1.93
0.534,267.49,268.869,267.34,0.9587,263.29,NVDA,421486,2,-3.55
0.5389,220.7271,220.7499,215.73,3.1435,215.82,META,512786,7,1.88
0.7904,210.25,211.55,200.01,7.254,198.52,ENPH,37419,2,-1.26
0.5825,185.8739,186.5,182.955,2.9544,180.94,TSLA,891307,8,-0.16
0.6618,165.215,165.38,161.63,3.1949,161.44,AAPL,877728,3,0.22
0.5798,128.63,128.77,128.46,0.1012,126.84,JPM,82658,14,-5.66
0.657,128.24,128.255,128.01,-0.2334,126.01,IBM,51367,3,5.26
0.3334,128.08,128.72,126.58,1.546,126.58,EA,20703,0,0.0
0.4119,107.215,107.47,105.84,2.4608,105.9,GOOGL,160360,-1,-0.48
0.7662,102.04,102.56,98.95,4.3034,98.73,AMZN,588350,6,3.23
0.5025,92.445,93.16,92.79,0.1246,91.83,AMD,456752,6,1.85
0.4976,90.8,90.81,90.1,1.5206,90.0,SONY,2088,0,0.0
0.3589,32.345,32.4252,31.82,1.015,31.65,INTC,131230,0,-0.14
0.2636,9.47,9.76,9.27,2.4892,9.201,CVNA,23336,-3,0.65
0.4199,5.8799,5.98,5.91,1.0292,5.825,SOFI,91919,1,0.89
0.4368,5.44,5.66,5.48,1.8727,5.3975,AMC,413218,-3,-2.73
