low,open,price,high,symbol,relvolume,percentchange,watchers,hourchange,sentiment
469.78,472.0,474.495,476.065,NOC,0.291,0.3649,8037,-1,-8.57
283.17,283.59,289.1219,289.15,MSFT,0.4827,1.9866,443338,-1,-1.85
263.29,267.34,267.24,268.869,NVDA,0.5555,0.8643,421491,5,-3.13
215.82,215.73,220.0903,221.15,META,0.5762,2.8459,512791,5,1.88
198.52,200.01,210.49,211.55,ENPH,0.8183,7.3764,37416,-3,-2.01
180.94,182.955,185.9103,186.5,TSLA,0.6008,2.9746,891313,6,-0.16
161.44,161.63,165.4,165.405,AAPL,0.6978,3.3104,877738,10,1.43
126.84,128.46,128.71,128.7899,JPM,0.6163,0.1634,82673,15,-5.33
126.01,128.01,128.26,128.28,IBM,0.6944,-0.2178,51365,-2,5.26
126.58,126.58,128.13,128.72,EA,0.3514,1.5857,20703,0,0.0
105.9,105.84,107.335,107.47,GOOGL,0.4304,2.5755,160364,4,-0.77
98.73,98.95,102.26,102.56,AMZN,0.8013,4.5283,588365,15,4.23
91.83,92.79,92.63,93.16,AMD,0.5339,0.3249,456754,2,1.81
90.0,90.1,90.74,90.83,SONY,0.533,1.4535,2088,0,0.0
31.65,31.82,32.295,32.4252,INTC,0.3805,0.8588,131230,0,1.39
9.201,9.27,9.375,9.76,CVNA,0.2741,1.461,23334,-2,0.35
5.825,5.91,5.865,5.98,SOFI,0.4539,0.7732,91913,-6,0.89
5.3975,5.48,5.42,5.66,AMC,0.457,1.4981,413217,-1,-3.34
