price,symbol,percentchange,high,relvolume,low,open,watchers,hourchange,sentiment
473.47,NOC,0.1481,476.065,0.3325,469.78,472.0,8037,-1,-8.57
289.18,MSFT,2.0071,289.61,0.5422,283.17,283.59,443338,-1,-1.85
265.59,NVDA,0.2416,268.869,0.6091,263.29,267.34,421491,5,-3.13
219.77,META,2.6963,221.15,0.6391,215.82,215.73,512791,5,1.88
210.655,ENPH,7.4606,211.55,0.887,198.52,200.01,37416,-3,-2.01
185.8901,TSLA,2.9634,186.5,0.633,180.94,182.955,891313,6,-0.16
165.52,AAPL,3.3854,165.8,0.782,161.44,161.63,877738,10,1.43
128.8,JPM,0.2335,128.89,0.6953,126.84,128.46,82673,15,-5.33
128.145,EA,1.5976,128.72,0.4007,126.58,126.58,20703,0,0.0
128.01,IBM,-0.4123,128.39,0.788,126.01,128.01,51365,-2,5.26
107.44,GOOGL,2.6758,107.49,0.4702,105.9,105.84,160364,4,-0.77
102.335,AMZN,4.6049,102.56,0.8728,98.73,98.95,588365,15,4.23
92.49,AMD,0.1733,93.16,0.5749,91.83,92.79,456754,2,1.81
90.565,SONY,1.2578,90.83,0.6544,90.0,90.1,2088,0,0.0
32.15,INTC,0.406,32.4252,0.4294,31.65,31.82,131230,0,1.39
9.255,CVNA,0.1623,9.76,0.2993,9.201,9.27,23334,-2,0.35
5.845,SOFI,0.4296,5.98,0.5074,5.825,5.91,91913,-6,0.89
5.4107,AMC,1.324,5.66,0.4855,5.39,5.48,413217,-1,-3.34
