open,relvolume,percentchange,price,symbol,high,low,watchers,hourchange,sentiment
126.58,0.4634,1.7204,128.3,EA,128.72,126.58,20703,0,6.67
215.73,0.6771,2.9533,220.32,META,221.15,215.82,512791,0,2.16
90.1,0.7734,1.174,90.49,SONY,90.83,90.0,2088,0,0.0
92.79,0.6105,-0.3249,92.03,AMD,93.16,91.83,456762,8,2.37
182.955,0.6485,2.9467,185.86,TSLA,186.5,180.94,891320,7,0.62
200.01,0.9909,6.9989,209.7499,ENPH,211.55,198.52,37416,0,-3.55
5.48,0.5092,2.1536,5.455,AMC,5.66,5.39,413217,0,-3.25
267.34,0.6485,-0.1472,264.56,NVDA,268.869,263.29,421494,3,-2.16
161.63,0.8567,3.4166,165.57,AAPL,165.8,161.44,877738,0,2.73
128.01,0.8901,-0.4823,127.92,IBM,128.39,126.01,51363,-2,6.11
98.95,0.9312,4.702,102.43,AMZN,102.56,98.73,588374,9,4.91
9.27,0.3162,1.4069,9.37,CVNA,9.76,9.201,23334,0,0.89
283.59,0.602,2.2329,289.82,MSFT,289.9,283.17,443344,6,-0.62
128.46,0.7779,0.3424,128.94,JPM,129.035,126.84,82689,16,-0.48
5.91,0.5437,0.5155,5.85,SOFI,5.98,5.825,91912,-1,1.13
472.0,0.3826,0.3321,474.34,NOC,476.065,469.78,8037,0,-8.57
31.82,0.474,0.2655,32.105,INTC,32.4252,31.65,131231,1,3.64
105.84,0.5101,2.6758,107.44,GOOGL,107.49,105.9,160364,0,-0.54
