open,low,symbol,price,percentchange,high,relvolume,watchers,hourchange,sentiment
5.48,5.39,AMC,5.46,2.2472,5.66,0.5092,413217,0,-3.25
161.63,161.44,AAPL,165.56,3.4104,165.8,0.8567,877738,0,2.73
267.34,263.29,NVDA,264.63,-0.1208,268.869,0.6485,421494,3,-2.16
128.01,126.0,IBM,127.9,-0.4979,128.39,0.8901,51363,-2,6.11
98.95,98.73,AMZN,102.4,4.6714,102.56,0.9312,588374,9,4.91
9.27,9.201,CVNA,9.37,1.4069,9.76,0.3162,23334,0,0.89
128.46,126.83,JPM,128.99,0.3813,129.04,0.7779,82689,16,-0.48
283.59,283.17,MSFT,289.84,2.2399,289.9,0.602,443344,6,-0.62
5.91,5.825,SOFI,5.86,0.6873,5.98,0.5437,91912,-1,1.13
472.0,469.67,NOC,474.16,0.294,476.065,0.3826,8037,0,-8.57
31.82,31.65,INTC,32.13,0.3435,32.4252,0.474,131231,1,3.64
105.84,105.9,GOOGL,107.43,2.6663,107.49,0.5101,160364,0,-0.54
126.58,126.58,EA,128.28,1.7046,128.72,0.4634,20703,0,6.67
215.73,215.82,META,220.35,2.9673,221.15,0.6771,512791,0,2.16
182.955,180.94,TSLA,185.9,2.9689,186.5,0.6485,891320,7,0.62
90.1,90.0,SONY,90.49,1.174,90.83,0.7734,2088,0,0.0
92.79,91.83,AMD,92.09,-0.2599,93.16,0.6105,456762,8,2.37
200.01,198.52,ENPH,209.69,6.9683,211.55,0.9909,37416,0,-3.55
