open,relvolume,price,percentchange,high,low,symbol,watchers,hourchange,sentiment
5.48,0.5092,5.46,2.2472,5.66,5.39,AMC,413218,1,-3.14
161.63,0.8567,165.56,3.4104,165.8,161.44,AAPL,877749,11,3.98
267.34,0.6485,264.63,-0.1208,268.869,263.29,NVDA,421506,12,-2.84
128.01,0.8901,127.9,-0.4979,128.39,126.01,IBM,51363,0,6.57
98.95,0.9312,102.4,4.6714,102.56,98.73,AMZN,588377,3,5.01
283.59,0.602,289.84,2.2399,289.9,283.17,MSFT,443350,6,0.76
128.46,0.7779,128.99,0.3813,129.035,126.84,JPM,82707,18,0.73
9.27,0.3162,9.37,1.4069,9.76,9.201,CVNA,23333,-1,0.35
472.0,0.3826,474.16,0.294,476.065,469.78,NOC,8038,1,-8.57
5.91,0.5437,5.86,0.6873,5.98,5.825,SOFI,91912,0,1.34
31.82,0.474,32.13,0.3435,32.4252,31.65,INTC,131232,1,4.5
105.84,0.5101,107.43,2.6663,107.49,105.9,GOOGL,160358,-6,-0.58
126.58,0.4634,128.28,1.7046,128.72,126.58,EA,20703,0,6.67
215.73,0.6771,220.35,2.9673,221.15,215.82,META,512793,2,3.03
90.1,0.7734,90.49,1.174,90.83,90.0,SONY,2088,0,0.0
182.955,0.6485,185.9,2.9689,186.5,180.94,TSLA,891320,0,0.9
92.79,0.6105,92.09,-0.2599,93.16,91.83,AMD,456761,-1,1.56
200.01,0.9909,209.69,6.9683,211.55,198.52,ENPH,37419,3,-4.18
